Created as New Dataset,Sample 008 By FTIR User 2.0 Date Friday, April 12 2024
cm-1,%T
4000.00,99.68
3999.00,99.69
3998.00,99.69
3997.00,99.69
3996.00,99.69
3995.00,99.69
3994.00,99.69
3993.00,99.68
3992.00,99.68
3991.00,99.68
3990.00,99.68
3989.00,99.68
3988.00,99.69
3987.00,99.69
3986.00,99.69
3985.00,99.69
3984.00,99.69
3983.00,99.69
3982.00,99.69
3981.00,99.70
3980.00,99.70
3979.00,99.69
3978.00,99.69
3977.00,99.69
3976.00,99.69
3975.00,99.69
3974.00,99.69
3973.00,99.69
3972.00,99.69
3971.00,99.70
3970.00,99.70
3969.00,99.69
3968.00,99.70
3967.00,99.70
3966.00,99.70
3965.00,99.70
3964.00,99.70
3963.00,99.70
3962.00,99.69
3961.00,99.69
3960.00,99.68
3959.00,99.68
3958.00,99.68
3957.00,99.68
3956.00,99.68
3955.00,99.68
3954.00,99.68
3953.00,99.67
3952.00,99.67
3951.00,99.67
3950.00,99.67
3949.00,99.68
3948.00,99.68
3947.00,99.67
3946.00,99.66
3945.00,99.65
3944.00,99.65
3943.00,99.66
3942.00,99.67
3941.00,99.68
3940.00,99.68
3939.00,99.68
3938.00,99.68
3937.00,99.68
3936.00,99.68
3935.00,99.67
3934.00,99.67
3933.00,99.67
3932.00,99.67
3931.00,99.67
3930.00,99.67
3929.00,99.66
3928.00,99.65
3927.00,99.65
3926.00,99.65
3925.00,99.65
3924.00,99.66
3923.00,99.66
3922.00,99.66
3921.00,99.65
3920.00,99.64
3919.00,99.64
3918.00,99.64
3917.00,99.65
3916.00,99.66
3915.00,99.67
3914.00,99.68
3913.00,99.68
3912.00,99.68
3911.00,99.68
3910.00,99.68
3909.00,99.67
3908.00,99.66
3907.00,99.65
3906.00,99.64
3905.00,99.62
3904.00,99.61
3903.00,99.59
3902.00,99.57
3901.00,99.56
3900.00,99.56
3899.00,99.57
3898.00,99.58
3897.00,99.60
3896.00,99.61
3895.00,99.61
3894.00,99.62
3893.00,99.63
3892.00,99.64
3891.00,99.65
3890.00,99.64
3889.00,99.63
3888.00,99.62
3887.00,99.62
3886.00,99.61
3885.00,99.61
3884.00,99.61
3883.00,99.61
3882.00,99.61
3881.00,99.61
3880.00,99.62
3879.00,99.63
3878.00,99.63
3877.00,99.63
3876.00,99.62
3875.00,99.62
3874.00,99.61
3873.00,99.61
3872.00,99.61
3871.00,99.60
3870.00,99.58
3869.00,99.56
3868.00,99.55
3867.00,99.56
3866.00,99.56
3865.00,99.57
3864.00,99.59
3863.00,99.61
3862.00,99.62
3861.00,99.62
3860.00,99.61
3859.00,99.60
3858.00,99.58
3857.00,99.56
3856.00,99.54
3855.00,99.53
3854.00,99.52
3853.00,99.51
3852.00,99.50
3851.00,99.51
3850.00,99.54
3849.00,99.57
3848.00,99.59
3847.00,99.60
3846.00,99.61
3845.00,99.62
3844.00,99.63
3843.00,99.62
3842.00,99.61
3841.00,99.60
3840.00,99.59
3839.00,99.57
3838.00,99.56
3837.00,99.54
3836.00,99.53
3835.00,99.54
3834.00,99.55
3833.00,99.56
3832.00,99.58
3831.00,99.59
3830.00,99.60
3829.00,99.61
3828.00,99.62
3827.00,99.62
3826.00,99.62
3825.00,99.60
3824.00,99.59
3823.00,99.59
3822.00,99.58
3821.00,99.57
3820.00,99.55
3819.00,99.54
3818.00,99.54
3817.00,99.54
3816.00,99.55
3815.00,99.56
3814.00,99.58
3813.00,99.61
3812.00,99.62
3811.00,99.62
3810.00,99.63
3809.00,99.63
3808.00,99.64
3807.00,99.63
3806.00,99.61
3805.00,99.59
3804.00,99.57
3803.00,99.56
3802.00,99.55
3801.00,99.54
3800.00,99.54
3799.00,99.55
3798.00,99.55
3797.00,99.56
3796.00,99.57
3795.00,99.59
3794.00,99.61
3793.00,99.62
3792.00,99.64
3791.00,99.65
3790.00,99.66
3789.00,99.66
3788.00,99.67
3787.00,99.67
3786.00,99.67
3785.00,99.66
3784.00,99.66
3783.00,99.65
3782.00,99.63
3781.00,99.63
3780.00,99.62
3779.00,99.63
3778.00,99.63
3777.00,99.64
3776.00,99.63
3775.00,99.63
3774.00,99.62
3773.00,99.62
3772.00,99.62
3771.00,99.62
3770.00,99.62
3769.00,99.60
3768.00,99.59
3767.00,99.58
3766.00,99.58
