Created as New Dataset,Sample 006 By FTIR User 2.0 Date Friday, April 12 2024
cm-1,%T
4000.00,100.47
3999.00,100.47
3998.00,100.47
3997.00,100.47
3996.00,100.47
3995.00,100.47
3994.00,100.47
3993.00,100.47
3992.00,100.47
3991.00,100.47
3990.00,100.47
3989.00,100.47
3988.00,100.48
3987.00,100.48
3986.00,100.48
3985.00,100.48
3984.00,100.49
3983.00,100.49
3982.00,100.49
3981.00,100.49
3980.00,100.49
3979.00,100.49
3978.00,100.49
3977.00,100.49
3976.00,100.50
3975.00,100.50
3974.00,100.50
3973.00,100.51
3972.00,100.51
3971.00,100.52
3970.00,100.52
3969.00,100.52
3968.00,100.52
3967.00,100.52
3966.00,100.52
3965.00,100.52
3964.00,100.52
3963.00,100.52
3962.00,100.52
3961.00,100.51
3960.00,100.52
3959.00,100.52
3958.00,100.52
3957.00,100.53
3956.00,100.53
3955.00,100.53
3954.00,100.53
3953.00,100.53
3952.00,100.53
3951.00,100.53
3950.00,100.53
3949.00,100.53
3948.00,100.54
3947.00,100.54
3946.00,100.54
3945.00,100.53
3944.00,100.53
3943.00,100.54
3942.00,100.54
3941.00,100.55
3940.00,100.55
3939.00,100.55
3938.00,100.55
3937.00,100.55
3936.00,100.54
3935.00,100.54
3934.00,100.54
3933.00,100.54
3932.00,100.54
3931.00,100.54
3930.00,100.54
3929.00,100.54
3928.00,100.53
3927.00,100.53
3926.00,100.53
3925.00,100.53
3924.00,100.53
3923.00,100.53
3922.00,100.54
3921.00,100.54
3920.00,100.54
3919.00,100.54
3918.00,100.54
3917.00,100.55
3916.00,100.55
3915.00,100.56
3914.00,100.56
3913.00,100.57
3912.00,100.57
3911.00,100.57
3910.00,100.57
3909.00,100.57
3908.00,100.57
3907.00,100.57
3906.00,100.57
3905.00,100.57
3904.00,100.57
3903.00,100.56
3902.00,100.55
3901.00,100.56
3900.00,100.56
3899.00,100.56
3898.00,100.56
3897.00,100.56
3896.00,100.57
3895.00,100.57
3894.00,100.57
3893.00,100.58
3892.00,100.59
3891.00,100.59
3890.00,100.59
3889.00,100.59
3888.00,100.59
3887.00,100.60
3886.00,100.59
3885.00,100.59
3884.00,100.59
3883.00,100.59
3882.00,100.60
3881.00,100.61
3880.00,100.60
3879.00,100.59
3878.00,100.58
3877.00,100.58
3876.00,100.58
3875.00,100.58
3874.00,100.58
3873.00,100.57
3872.00,100.58
3871.00,100.58
3870.00,100.59
3869.00,100.58
3868.00,100.57
3867.00,100.57
3866.00,100.58
3865.00,100.58
3864.00,100.58
3863.00,100.58
3862.00,100.58
3861.00,100.58
3860.00,100.58
3859.00,100.57
3858.00,100.56
3857.00,100.56
3856.00,100.57
3855.00,100.58
3854.00,100.59
3853.00,100.60
3852.00,100.59
3851.00,100.59
3850.00,100.60
3849.00,100.60
3848.00,100.59
3847.00,100.58
3846.00,100.57
3845.00,100.57
3844.00,100.57
3843.00,100.57
3842.00,100.58
3841.00,100.58
3840.00,100.59
3839.00,100.60
3838.00,100.60
3837.00,100.60
3836.00,100.59
3835.00,100.59
3834.00,100.59
3833.00,100.58
3832.00,100.57
3831.00,100.57
3830.00,100.56
3829.00,100.56
3828.00,100.57
3827.00,100.57
3826.00,100.57
3825.00,100.57
3824.00,100.57
3823.00,100.58
3822.00,100.58
3821.00,100.57
3820.00,100.57
3819.00,100.56
3818.00,100.57
3817.00,100.57
3816.00,100.57
3815.00,100.57
3814.00,100.57
3813.00,100.58
3812.00,100.59
3811.00,100.59
3810.00,100.59
3809.00,100.59
3808.00,100.59
3807.00,100.60
3806.00,100.60
3805.00,100.59
3804.00,100.59
3803.00,100.58
3802.00,100.57
3801.00,100.56
3800.00,100.56
3799.00,100.56
3798.00,100.56
3797.00,100.56
3796.00,100.56
3795.00,100.55
3794.00,100.56
