Created as New Dataset,Sample 000 By FTIR User 2.0 Date Friday, March 01 2024
cm-1,%T
4000.00,97.68
3999.00,97.68
3998.00,97.68
3997.00,97.67
3996.00,97.68
3995.00,97.69
3994.00,97.69
3993.00,97.69
3992.00,97.69
3991.00,97.69
3990.00,97.69
3989.00,97.69
3988.00,97.70
3987.00,97.70
3986.00,97.70
3985.00,97.69
3984.00,97.69
3983.00,97.69
3982.00,97.70
3981.00,97.70
3980.00,97.70
3979.00,97.70
3978.00,97.70
3977.00,97.69
3976.00,97.69
3975.00,97.69
3974.00,97.69
3973.00,97.69
3972.00,97.70
3971.00,97.70
3970.00,97.70
3969.00,97.70
3968.00,97.70
3967.00,97.70
3966.00,97.69
3965.00,97.70
3964.00,97.70
3963.00,97.70
3962.00,97.70
3961.00,97.71
3960.00,97.71
3959.00,97.71
3958.00,97.70
3957.00,97.71
3956.00,97.71
3955.00,97.71
3954.00,97.70
3953.00,97.70
3952.00,97.70
3951.00,97.70
3950.00,97.70
3949.00,97.70
3948.00,97.70
3947.00,97.70
3946.00,97.70
3945.00,97.70
3944.00,97.70
3943.00,97.71
3942.00,97.72
3941.00,97.73
3940.00,97.73
3939.00,97.72
3938.00,97.72
3937.00,97.72
3936.00,97.71
3935.00,97.71
3934.00,97.71
3933.00,97.71
3932.00,97.71
3931.00,97.71
3930.00,97.72
3929.00,97.72
3928.00,97.72
3927.00,97.71
3926.00,97.71
3925.00,97.72
3924.00,97.72
3923.00,97.73
3922.00,97.73
3921.00,97.72
3920.00,97.72
3919.00,97.72
3918.00,97.73
3917.00,97.73
3916.00,97.74
3915.00,97.74
3914.00,97.75
3913.00,97.75
3912.00,97.75
3911.00,97.75
3910.00,97.75
3909.00,97.75
3908.00,97.75
3907.00,97.74
3906.00,97.73
3905.00,97.73
3904.00,97.73
3903.00,97.72
3902.00,97.72
3901.00,97.71
3900.00,97.72
3899.00,97.73
3898.00,97.74
3897.00,97.74
3896.00,97.74
3895.00,97.74
3894.00,97.74
3893.00,97.75
3892.00,97.76
3891.00,97.76
3890.00,97.76
3889.00,97.75
3888.00,97.75
3887.00,97.74
3886.00,97.73
3885.00,97.74
3884.00,97.75
3883.00,97.75
3882.00,97.75
3881.00,97.76
3880.00,97.78
3879.00,97.78
3878.00,97.78
3877.00,97.77
3876.00,97.76
3875.00,97.76
3874.00,97.76
3873.00,97.77
3872.00,97.77
3871.00,97.77
3870.00,97.76
3869.00,97.76
3868.00,97.75
3867.00,97.74
3866.00,97.73
3865.00,97.73
3864.00,97.75
3863.00,97.77
3862.00,97.77
3861.00,97.76
3860.00,97.75
3859.00,97.75
3858.00,97.76
3857.00,97.77
3856.00,97.78
3855.00,97.78
3854.00,97.77
3853.00,97.76
3852.00,97.76
3851.00,97.77
3850.00,97.76
3849.00,97.76
3848.00,97.75
3847.00,97.75
3846.00,97.75
3845.00,97.75
3844.00,97.76
3843.00,97.76
3842.00,97.76
3841.00,97.76
3840.00,97.76
3839.00,97.76
3838.00,97.77
3837.00,97.77
3836.00,97.77
3835.00,97.77
3834.00,97.77
3833.00,97.77
3832.00,97.77
3831.00,97.77
3830.00,97.76
3829.00,97.76
3828.00,97.76
3827.00,97.76
3826.00,97.76
3825.00,97.76
3824.00,97.75
3823.00,97.75
3822.00,97.74
3821.00,97.75
3820.00,97.76
3819.00,97.77
3818.00,97.76
3817.00,97.76
3816.00,97.76
3815.00,97.77
3814.00,97.78
3813.00,97.77
3812.00,97.76
3811.00,97.76
3810.00,97.76
3809.00,97.76
3808.00,97.76
3807.00,97.75
3806.00,97.74
3805.00,97.74
3804.00,97.73
3803.00,97.73
3802.00,97.72
3801.00,97.73
3800.00,97.73
3799.00,97.73
3798.00,97.73
3797.00,97.73
3796.00,97.74
3795.00,97.74
3794.00,97.74
3793.00,97.74
3792.00,97.73
3791.00,97.74
3790.00,97.74
3789.00,97.74
3788.00,97.74
3787.00,97.73
3786.00,97.73
3785.00,97.73
3784.00,97.73
3783.00,97.73
3782.00,97.72
3781.00,97.71
3780.00,97.71
3779.00,97.71
3778.00,97.71
3777.00,97.71
3776.00,97.71
3775.00,97.70
3774.00,97.70
3773.00,97.69
3772.00,97.69
3771.00,97.68
3770.00,97.68
3769.00,97.68
3768.00,97.68
3767.00,97.67
3766.00,97.67
3765.00,97.67
3764.00,97.67
3763.00,97.66
3762.00,97.65
3761.00,97.65
3760.00,97.64
3759.00,97.64
3758.00,97.64
3757.00,97.63
3756.00,97.62
3755.00,97.60
3754.00,97.59
3753.00,97.57
3752.00,97.56
3751.00,97.56
3750.00,97.55
3749.00,97.54
3748.00,97.54
3747.00,97.55
3746.00,97.57
3745.00,97.57
3744.00,97.55
3743.00,97.53
3742.00,97.51
3741.00,97.49
3740.00,97.47
3739.00,97.45
3738.00,97.43
3737.00,97.42
3736.00,97.42
3735.00,97.43
3734.00,97.45
3733.00,97.46
3732.00,97.44
3731.00,97.42
3730.00,97.41
3729.00,97.39
3728.00,97.38
3727.00,97.36
3726.00,97.35
3725.00,97.35
3724.00,97.34
3723.00,97.33
3722.00,97.32
3721.00,97.32
3720.00,97.30
3719.00,97.29
3718.00,97.26
3717.00,97.23
3716.00,97.21
3715.00,97.19
3714.00,97.17
3713.00,97.14
3712.00,97.13
3711.00,97.11
3710.00,97.10
3709.00,97.07
3708.00,97.04
3707.00,97.01
3706.00,96.98
3705.00,96.96
3704.00,96.93
3703.00,96.91
3702.00,96.88
3701.00,96.84
3700.00,96.80
3699.00,96.74
3698.00,96.69
3697.00,96.64
3696.00,96.59
3695.00,96.54
3694.00,96.50
3693.00,96.44
3692.00,96.38
3691.00,96.32
3690.00,96.25
3689.00,96.17
3688.00,96.10
3687.00,96.03
3686.00,95.97
3685.00,95.91
3684.00,95.85
3683.00,95.78
3682.00,95.71
3681.00,95.63
3680.00,95.56
3679.00,95.48
3678.00,95.41
3677.00,95.31
3676.00,95.18
3675.00,95.06
3674.00,94.95
3673.00,94.86
3672.00,94.77
3671.00,94.66
3670.00,94.55
3669.00,94.44
3668.00,94.33
3667.00,94.22
3666.00,94.11
3665.00,94.00
3664.00,93.89
3663.00,93.77
3662.00,93.65
3661.00,93.52
3660.00,93.41
3659.00,93.30
3658.00,93.19
3657.00,93.06
3656.00,92.93
3655.00,92.81
3654.00,92.70
3653.00,92.59
3652.00,92.47
3651.00,92.33
3650.00,92.18
3649.00,92.04
3648.00,91.92
3647.00,91.81
3646.00,91.69
3645.00,91.58
3644.00,91.48
3643.00,91.38
3642.00,91.28
3641.00,91.17
3640.00,91.07
3639.00,90.96
3638.00,90.85
3637.00,90.74
3636.00,90.63
3635.00,90.52
3634.00,90.41
3633.00,90.32
3632.00,90.24
3631.00,90.14
3630.00,90.02
3629.00,89.87
3628.00,89.74
3627.00,89.62
3626.00,89.52
3625.00,89.43
3624.00,89.33
3623.00,89.24
3622.00,89.14
3621.00,89.05
3620.00,88.95
3619.00,88.84
3618.00,88.74
3617.00,88.63
3616.00,88.53
3615.00,88.43
3614.00,88.33
3613.00,88.24
3612.00,88.14
3611.00,88.05
3610.00,87.94
3609.00,87.83
3608.00,87.71
3607.00,87.61
3606.00,87.51
3605.00,87.41
3604.00,87.31
3603.00,87.21
3602.00,87.10
3601.00,86.98
3600.00,86.87
3599.00,86.77
3598.00,86.68
3597.00,86.59
3596.00,86.49
3595.00,86.38
3594.00,86.27
3593.00,86.16
3592.00,86.06
3591.00,85.97
3590.00,85.86
3589.00,85.74
3588.00,85.60
3587.00,85.46
3586.00,85.33
3585.00,85.23
3584.00,85.13
3583.00,85.04
3582.00,84.94
3581.00,84.85
3580.00,84.76
3579.00,84.66
3578.00,84.55
3577.00,84.44
3576.00,84.33
3575.00,84.22
3574.00,84.10
3573.00,83.98
3572.00,83.86
3571.00,83.75
3570.00,83.63
3569.00,83.51
3568.00,83.39
3567.00,83.26
3566.00,83.14
3565.00,83.02
3564.00,82.90
3563.00,82.77
3562.00,82.65
3561.00,82.53
3560.00,82.41
3559.00,82.30
3558.00,82.19
3557.00,82.08
3556.00,81.96
3555.00,81.84
3554.00,81.71
3553.00,81.57
3552.00,81.43
3551.00,81.30
3550.00,81.18
3549.00,81.05
3548.00,80.90
3547.00,80.74
3546.00,80.57
3545.00,80.43
3544.00,80.32
3543.00,80.22
3542.00,80.13
3541.00,80.04
3540.00,79.94
3539.00,79.81
3538.00,79.67
3537.00,79.53
3536.00,79.40
3535.00,79.28
3534.00,79.18
3533.00,79.07
3532.00,78.95
3531.00,78.83
3530.00,78.70
3529.00,78.57
3528.00,78.43
3527.00,78.29
3526.00,78.13
3525.00,77.98
3524.00,77.83
3523.00,77.71
3522.00,77.61
3521.00,77.52
3520.00,77.42
3519.00,77.30
3518.00,77.16
3517.00,77.02
3516.00,76.88
3515.00,76.73
3514.00,76.59
3513.00,76.47
3512.00,76.37
3511.00,76.26
3510.00,76.15
3509.00,76.03
3508.00,75.90
3507.00,75.76
3506.00,75.62
3505.00,75.45
3504.00,75.28
3503.00,75.12
3502.00,74.99
3501.00,74.88
3500.00,74.77
3499.00,74.65
3498.00,74.52
3497.00,74.39
3496.00,74.26
3495.00,74.15
3494.00,74.04
3493.00,73.93
3492.00,73.82
3491.00,73.70
3490.00,73.57
3489.00,73.42
3488.00,73.28
3487.00,73.14
3486.00,73.02
3485.00,72.92
3484.00,72.81
3483.00,72.67
3482.00,72.51
3481.00,72.35
3480.00,72.21
3479.00,72.10
3478.00,72.01
3477.00,71.91
3476.00,71.81
3475.00,71.68
3474.00,71.55
3473.00,71.40
3472.00,71.24
3471.00,71.06
3470.00,70.88
3469.00,70.72
3468.00,70.59
3467.00,70.49
3466.00,70.42
3465.00,70.34
3464.00,70.25
3463.00,70.13
3462.00,69.99
3461.00,69.85
3460.00,69.72
3459.00,69.61
3458.00,69.52
3457.00,69.42
3456.00,69.31
3455.00,69.19
3454.00,69.07
3453.00,68.94
3452.00,68.82
3451.00,68.69
3450.00,68.56
3449.00,68.43
3448.00,68.29
3447.00,68.16
3446.00,68.04
3445.00,67.93
3444.00,67.82
3443.00,67.70
3442.00,67.57
3441.00,67.43
3440.00,67.27
3439.00,67.10
3438.00,66.92
3437.00,66.75
3436.00,66.62
3435.00,66.51
3434.00,66.41
3433.00,66.32
3432.00,66.22
3431.00,66.10
3430.00,65.98
3429.00,65.88
3428.00,65.80
