Created as New Dataset,Sample 001 By FTIR User 2.0 Date Friday, March 01 2024
cm-1,%T
4000.00,98.77
3999.00,98.77
3998.00,98.77
3997.00,98.77
3996.00,98.76
3995.00,98.77
3994.00,98.77
3993.00,98.77
3992.00,98.77
3991.00,98.77
3990.00,98.77
3989.00,98.77
3988.00,98.77
3987.00,98.76
3986.00,98.76
3985.00,98.76
3984.00,98.76
3983.00,98.76
3982.00,98.77
3981.00,98.77
3980.00,98.76
3979.00,98.76
3978.00,98.75
3977.00,98.75
3976.00,98.75
3975.00,98.76
3974.00,98.76
3973.00,98.76
3972.00,98.76
3971.00,98.77
3970.00,98.77
3969.00,98.77
3968.00,98.78
3967.00,98.78
3966.00,98.77
3965.00,98.77
3964.00,98.76
3963.00,98.76
3962.00,98.77
3961.00,98.77
3960.00,98.77
3959.00,98.77
3958.00,98.77
3957.00,98.77
3956.00,98.77
3955.00,98.78
3954.00,98.78
3953.00,98.77
3952.00,98.77
3951.00,98.77
3950.00,98.77
3949.00,98.78
3948.00,98.78
3947.00,98.78
3946.00,98.77
3945.00,98.77
3944.00,98.77
3943.00,98.78
3942.00,98.79
3941.00,98.80
3940.00,98.79
3939.00,98.79
3938.00,98.78
3937.00,98.78
3936.00,98.77
3935.00,98.77
3934.00,98.76
3933.00,98.77
3932.00,98.77
3931.00,98.78
3930.00,98.79
3929.00,98.78
3928.00,98.77
3927.00,98.76
3926.00,98.76
3925.00,98.77
3924.00,98.78
3923.00,98.79
3922.00,98.79
3921.00,98.79
3920.00,98.78
3919.00,98.78
3918.00,98.79
3917.00,98.80
3916.00,98.81
3915.00,98.81
3914.00,98.81
3913.00,98.80
3912.00,98.80
3911.00,98.80
3910.00,98.80
3909.00,98.79
3908.00,98.79
3907.00,98.78
3906.00,98.78
3905.00,98.78
3904.00,98.79
3903.00,98.79
3902.00,98.79
3901.00,98.79
3900.00,98.79
3899.00,98.80
3898.00,98.80
3897.00,98.80
3896.00,98.79
3895.00,98.78
3894.00,98.78
3893.00,98.78
3892.00,98.79
3891.00,98.81
3890.00,98.81
3889.00,98.80
3888.00,98.79
3887.00,98.78
3886.00,98.77
3885.00,98.78
3884.00,98.78
3883.00,98.78
3882.00,98.79
3881.00,98.80
3880.00,98.81
3879.00,98.82
3878.00,98.81
3877.00,98.79
3876.00,98.78
3875.00,98.77
3874.00,98.78
3873.00,98.78
3872.00,98.78
3871.00,98.78
3870.00,98.79
3869.00,98.79
3868.00,98.79
3867.00,98.77
3866.00,98.76
3865.00,98.76
3864.00,98.77
3863.00,98.78
3862.00,98.79
3861.00,98.79
3860.00,98.78
3859.00,98.77
3858.00,98.77
3857.00,98.77
3856.00,98.77
3855.00,98.76
3854.00,98.75
3853.00,98.75
3852.00,98.76
3851.00,98.76
3850.00,98.76
3849.00,98.76
3848.00,98.76
3847.00,98.76
3846.00,98.76
3845.00,98.77
3844.00,98.77
3843.00,98.77
3842.00,98.77
3841.00,98.77
3840.00,98.76
3839.00,98.77
3838.00,98.77
3837.00,98.78
3836.00,98.77
3835.00,98.77
3834.00,98.76
3833.00,98.76
3832.00,98.77
3831.00,98.77
3830.00,98.77
3829.00,98.76
3828.00,98.76
3827.00,98.76
3826.00,98.77
3825.00,98.77
3824.00,98.76
3823.00,98.75
3822.00,98.74
3821.00,98.74
3820.00,98.75
3819.00,98.75
3818.00,98.74
3817.00,98.74
3816.00,98.75
3815.00,98.76
3814.00,98.76
3813.00,98.76
3812.00,98.76
3811.00,98.76
3810.00,98.75
3809.00,98.75
3808.00,98.75
3807.00,98.75
3806.00,98.74
3805.00,98.74
3804.00,98.73
3803.00,98.72
3802.00,98.72
3801.00,98.72
3800.00,98.72
3799.00,98.72
3798.00,98.71
3797.00,98.72
3796.00,98.73
3795.00,98.74
3794.00,98.74
3793.00,98.74
3792.00,98.74
3791.00,98.74
3790.00,98.74
3789.00,98.74
3788.00,98.74
3787.00,98.73
3786.00,98.73
3785.00,98.73
3784.00,98.73
3783.00,98.73
3782.00,98.72
3781.00,98.71
3780.00,98.71
3779.00,98.71
3778.00,98.71
3777.00,98.70
3776.00,98.69
3775.00,98.69
3774.00,98.68
3773.00,98.68
3772.00,98.68
3771.00,98.68
3770.00,98.68
3769.00,98.68
3768.00,98.67
3767.00,98.66
3766.00,98.66
3765.00,98.66
3764.00,98.66
3763.00,98.65
3762.00,98.64
3761.00,98.63
3760.00,98.63
3759.00,98.63
3758.00,98.63
3757.00,98.63
3756.00,98.62
3755.00,98.61
3754.00,98.58
3753.00,98.56
3752.00,98.54
3751.00,98.53
3750.00,98.53
3749.00,98.52
3748.00,98.50
3747.00,98.50
3746.00,98.50
3745.00,98.50
3744.00,98.50
3743.00,98.49
3742.00,98.48
3741.00,98.47
3740.00,98.47
3739.00,98.47
3738.00,98.46
3737.00,98.45
3736.00,98.46
3735.00,98.48
3734.00,98.50
3733.00,98.50
3732.00,98.47
3731.00,98.43
3730.00,98.41
3729.00,98.39
3728.00,98.38
3727.00,98.37
3726.00,98.38
3725.00,98.38
3724.00,98.38
3723.00,98.38
3722.00,98.36
3721.00,98.35
3720.00,98.33
3719.00,98.32
3718.00,98.30
3717.00,98.29
3716.00,98.27
3715.00,98.25
3714.00,98.23
3713.00,98.20
3712.00,98.18
3711.00,98.16
3710.00,98.14
3709.00,98.12
3708.00,98.09
3707.00,98.06
3706.00,98.04
3705.00,98.02
3704.00,98.00
3703.00,97.97
3702.00,97.95
3701.00,97.93
3700.00,97.89
3699.00,97.85
3698.00,97.81
3697.00,97.78
3696.00,97.74
3695.00,97.70
3694.00,97.66
3693.00,97.61
3692.00,97.56
3691.00,97.51
3690.00,97.46
3689.00,97.40
3688.00,97.33
3687.00,97.26
3686.00,97.19
3685.00,97.14
3684.00,97.08
3683.00,97.03
3682.00,96.97
3681.00,96.91
3680.00,96.85
3679.00,96.79
3678.00,96.73
3677.00,96.64
3676.00,96.52
3675.00,96.42
3674.00,96.33
3673.00,96.24
3672.00,96.15
3671.00,96.05
3670.00,95.94
3669.00,95.84
3668.00,95.75
