Created as New Dataset,Sample 002 By FTIR User 2.0 Date Friday, March 01 2024
cm-1,%T
4000.00,93.46
3999.00,93.47
3998.00,93.47
3997.00,93.47
3996.00,93.46
3995.00,93.46
3994.00,93.46
3993.00,93.46
3992.00,93.46
3991.00,93.46
3990.00,93.46
3989.00,93.47
3988.00,93.47
3987.00,93.48
3986.00,93.48
3985.00,93.48
3984.00,93.49
3983.00,93.49
3982.00,93.49
3981.00,93.49
3980.00,93.49
3979.00,93.48
3978.00,93.48
3977.00,93.48
3976.00,93.48
3975.00,93.49
3974.00,93.50
3973.00,93.50
3972.00,93.51
3971.00,93.51
3970.00,93.52
3969.00,93.52
3968.00,93.53
3967.00,93.53
3966.00,93.53
3965.00,93.52
3964.00,93.51
3963.00,93.52
3962.00,93.52
3961.00,93.53
3960.00,93.53
3959.00,93.53
3958.00,93.53
3957.00,93.54
3956.00,93.55
3955.00,93.55
3954.00,93.55
3953.00,93.54
3952.00,93.53
3951.00,93.53
3950.00,93.53
3949.00,93.54
3948.00,93.54
3947.00,93.53
3946.00,93.53
3945.00,93.52
3944.00,93.53
3943.00,93.56
3942.00,93.59
3941.00,93.60
3940.00,93.59
3939.00,93.59
3938.00,93.58
3937.00,93.58
3936.00,93.57
3935.00,93.56
3934.00,93.55
3933.00,93.55
3932.00,93.57
3931.00,93.58
3930.00,93.59
3929.00,93.59
3928.00,93.58
3927.00,93.57
3926.00,93.57
3925.00,93.59
3924.00,93.61
3923.00,93.62
3922.00,93.61
3921.00,93.60
3920.00,93.58
3919.00,93.58
3918.00,93.59
3917.00,93.61
3916.00,93.63
3915.00,93.64
3914.00,93.65
3913.00,93.66
3912.00,93.66
3911.00,93.67
3910.00,93.68
3909.00,93.68
3908.00,93.67
3907.00,93.65
3906.00,93.64
3905.00,93.62
3904.00,93.61
3903.00,93.59
3902.00,93.57
3901.00,93.55
3900.00,93.55
3899.00,93.57
3898.00,93.59
3897.00,93.60
3896.00,93.60
3895.00,93.60
3894.00,93.60
3893.00,93.62
3892.00,93.65
3891.00,93.68
3890.00,93.69
3889.00,93.67
3888.00,93.65
3887.00,93.62
3886.00,93.61
3885.00,93.63
3884.00,93.65
3883.00,93.65
3882.00,93.65
3881.00,93.67
3880.00,93.70
3879.00,93.72
3878.00,93.71
3877.00,93.69
3876.00,93.67
3875.00,93.67
3874.00,93.69
3873.00,93.70
3872.00,93.69
3871.00,93.66
3870.00,93.65
3869.00,93.64
3868.00,93.64
3867.00,93.61
3866.00,93.58
3865.00,93.58
3864.00,93.62
3863.00,93.67
3862.00,93.69
3861.00,93.69
3860.00,93.68
3859.00,93.68
3858.00,93.69
3857.00,93.70
3856.00,93.70
3855.00,93.68
3854.00,93.65
3853.00,93.64
3852.00,93.64
3851.00,93.65
3850.00,93.66
3849.00,93.67
3848.00,93.69
3847.00,93.70
3846.00,93.72
3845.00,93.74
3844.00,93.75
3843.00,93.76
3842.00,93.76
3841.00,93.74
3840.00,93.73
3839.00,93.72
3838.00,93.72
3837.00,93.71
3836.00,93.70
3835.00,93.70
3834.00,93.70
3833.00,93.71
3832.00,93.73
3831.00,93.74
3830.00,93.76
3829.00,93.77
3828.00,93.78
3827.00,93.79
3826.00,93.80
3825.00,93.80
3824.00,93.78
3823.00,93.73
3822.00,93.70
3821.00,93.70
3820.00,93.72
3819.00,93.73
3818.00,93.73
3817.00,93.73
3816.00,93.74
3815.00,93.78
3814.00,93.82
3813.00,93.83
3812.00,93.84
3811.00,93.84
3810.00,93.85
3809.00,93.85
3808.00,93.84
3807.00,93.83
3806.00,93.82
3805.00,93.82
3804.00,93.80
3803.00,93.77
3802.00,93.76
3801.00,93.77
3800.00,93.78
3799.00,93.78
3798.00,93.78
3797.00,93.78
3796.00,93.81
3795.00,93.84
3794.00,93.86
3793.00,93.87
3792.00,93.88
3791.00,93.90
3790.00,93.92
3789.00,93.93
3788.00,93.92
3787.00,93.92
3786.00,93.92
3785.00,93.92
3784.00,93.92
3783.00,93.91
3782.00,93.90
3781.00,93.89
3780.00,93.89
3779.00,93.90
3778.00,93.91
3777.00,93.91
3776.00,93.90
3775.00,93.89
3774.00,93.89
3773.00,93.89
3772.00,93.88
3771.00,93.88
3770.00,93.87
3769.00,93.86
3768.00,93.85
3767.00,93.84
3766.00,93.83
3765.00,93.83
3764.00,93.83
3763.00,93.83
3762.00,93.82
3761.00,93.80
3760.00,93.79
3759.00,93.80
3758.00,93.80
3757.00,93.79
3756.00,93.77
3755.00,93.74
3754.00,93.70
3753.00,93.65
3752.00,93.61
3751.00,93.58
3750.00,93.54
3749.00,93.51
3748.00,93.49
3747.00,93.50
3746.00,93.50
3745.00,93.52
3744.00,93.54
3743.00,93.56
3742.00,93.57
3741.00,93.56
3740.00,93.55
3739.00,93.53
3738.00,93.51
3737.00,93.51
3736.00,93.53
3735.00,93.58
3734.00,93.61
3733.00,93.60
3732.00,93.56
3731.00,93.53
3730.00,93.52
3729.00,93.53
3728.00,93.52
3727.00,93.52
3726.00,93.53
3725.00,93.54
3724.00,93.55
3723.00,93.55
3722.00,93.55
3721.00,93.55
3720.00,93.55
3719.00,93.55
3718.00,93.54
3717.00,93.53
3716.00,93.51
3715.00,93.48
3714.00,93.44
3713.00,93.40
3712.00,93.37
3711.00,93.36
3710.00,93.35
3709.00,93.32
3708.00,93.29
3707.00,93.28
3706.00,93.27
3705.00,93.26
3704.00,93.25
3703.00,93.24
3702.00,93.23
3701.00,93.20
3700.00,93.17
3699.00,93.12
3698.00,93.07
3697.00,93.02
3696.00,92.98
3695.00,92.95
3694.00,92.90
3693.00,92.84
3692.00,92.77
3691.00,92.71
3690.00,92.65
3689.00,92.57
3688.00,92.49
3687.00,92.41
3686.00,92.35
3685.00,92.30
3684.00,92.25
3683.00,92.20
3682.00,92.14
3681.00,92.08
3680.00,92.01
3679.00,91.94
3678.00,91.85
3677.00,91.73
3676.00,91.59
3675.00,91.47
3674.00,91.36
3673.00,91.26
3672.00,91.14
3671.00,91.01
3670.00,90.92
3669.00,90.85
3668.00,90.79
3667.00,90.72
3666.00,90.64
3665.00,90.56
3664.00,90.48
3663.00,90.39
3662.00,90.29
3661.00,90.18
3660.00,90.07
3659.00,89.96
3658.00,89.84
3657.00,89.71
3656.00,89.58
3655.00,89.46
3654.00,89.36
3653.00,89.25
3652.00,89.12
3651.00,88.96
3650.00,88.80
3649.00,88.66
3648.00,88.54
3647.00,88.44
3646.00,88.34
3645.00,88.25
3644.00,88.17
3643.00,88.09
3642.00,88.02
3641.00,87.95
3640.00,87.87
3639.00,87.78
3638.00,87.68
3637.00,87.57
3636.00,87.46
3635.00,87.35
3634.00,87.25
3633.00,87.15
3632.00,87.05
3631.00,86.93
