Created as New Dataset,Sample 003 By FTIR User 2.0 Date Friday, March 01 2024
cm-1,%T
4000.00,89.62
3999.00,89.62
3998.00,89.62
3997.00,89.63
3996.00,89.63
3995.00,89.63
3994.00,89.63
3993.00,89.63
3992.00,89.63
3991.00,89.63
3990.00,89.64
3989.00,89.65
3988.00,89.65
3987.00,89.66
3986.00,89.66
3985.00,89.66
3984.00,89.66
3983.00,89.67
3982.00,89.67
3981.00,89.68
3980.00,89.68
3979.00,89.68
3978.00,89.68
3977.00,89.67
3976.00,89.67
3975.00,89.68
3974.00,89.68
3973.00,89.69
3972.00,89.69
3971.00,89.70
3970.00,89.71
3969.00,89.72
3968.00,89.73
3967.00,89.74
3966.00,89.74
3965.00,89.73
3964.00,89.72
3963.00,89.72
3962.00,89.73
3961.00,89.74
3960.00,89.74
3959.00,89.75
3958.00,89.75
3957.00,89.76
3956.00,89.77
3955.00,89.78
3954.00,89.78
3953.00,89.77
3952.00,89.76
3951.00,89.75
3950.00,89.75
3949.00,89.75
3948.00,89.75
3947.00,89.75
3946.00,89.74
3945.00,89.74
3944.00,89.75
3943.00,89.78
3942.00,89.82
3941.00,89.84
3940.00,89.84
3939.00,89.83
3938.00,89.82
3937.00,89.82
3936.00,89.82
3935.00,89.81
3934.00,89.80
3933.00,89.80
3932.00,89.81
3931.00,89.83
3930.00,89.84
3929.00,89.84
3928.00,89.83
3927.00,89.82
3926.00,89.83
3925.00,89.85
3924.00,89.87
3923.00,89.89
3922.00,89.88
3921.00,89.86
3920.00,89.85
3919.00,89.84
3918.00,89.85
3917.00,89.88
3916.00,89.90
3915.00,89.93
3914.00,89.94
3913.00,89.95
3912.00,89.96
3911.00,89.97
3910.00,89.98
3909.00,89.99
3908.00,89.98
3907.00,89.96
3906.00,89.94
3905.00,89.91
3904.00,89.88
3903.00,89.85
3902.00,89.82
3901.00,89.80
3900.00,89.80
3899.00,89.83
3898.00,89.86
3897.00,89.88
3896.00,89.89
3895.00,89.89
3894.00,89.90
3893.00,89.92
3892.00,89.95
3891.00,89.98
3890.00,90.00
3889.00,89.99
3888.00,89.96
3887.00,89.93
3886.00,89.92
3885.00,89.93
3884.00,89.96
3883.00,89.98
3882.00,89.98
3881.00,89.99
3880.00,90.02
3879.00,90.05
3878.00,90.04
3877.00,90.02
3876.00,90.00
3875.00,90.01
3874.00,90.03
3873.00,90.05
3872.00,90.04
3871.00,89.99
3870.00,89.96
3869.00,89.96
3868.00,89.96
3867.00,89.94
3866.00,89.90
3865.00,89.89
3864.00,89.93
3863.00,89.99
3862.00,90.02
3861.00,90.02
3860.00,90.01
3859.00,90.02
3858.00,90.05
3857.00,90.09
3856.00,90.10
3855.00,90.07
3854.00,90.03
3853.00,90.01
3852.00,90.01
3851.00,90.02
3850.00,90.02
3849.00,90.03
3848.00,90.05
3847.00,90.07
3846.00,90.10
3845.00,90.13
3844.00,90.14
3843.00,90.15
3842.00,90.15
3841.00,90.14
3840.00,90.13
3839.00,90.12
3838.00,90.11
3837.00,90.11
3836.00,90.09
3835.00,90.09
3834.00,90.09
3833.00,90.10
3832.00,90.13
3831.00,90.15
3830.00,90.18
3829.00,90.20
3828.00,90.21
3827.00,90.22
3826.00,90.23
3825.00,90.24
3824.00,90.22
3823.00,90.17
3822.00,90.13
3821.00,90.13
3820.00,90.16
3819.00,90.18
3818.00,90.17
3817.00,90.16
3816.00,90.17
3815.00,90.23
3814.00,90.28
3813.00,90.31
3812.00,90.31
3811.00,90.32
3810.00,90.33
3809.00,90.34
3808.00,90.34
3807.00,90.32
3806.00,90.31
3805.00,90.31
3804.00,90.29
3803.00,90.25
3802.00,90.22
3801.00,90.23
3800.00,90.26
3799.00,90.26
3798.00,90.25
3797.00,90.25
3796.00,90.29
3795.00,90.33
3794.00,90.37
3793.00,90.40
3792.00,90.41
3791.00,90.43
3790.00,90.45
3789.00,90.47
3788.00,90.47
3787.00,90.47
3786.00,90.47
3785.00,90.48
3784.00,90.48
3783.00,90.48
3782.00,90.46
3781.00,90.44
3780.00,90.44
3779.00,90.45
3778.00,90.47
3777.00,90.47
3776.00,90.46
3775.00,90.45
3774.00,90.45
3773.00,90.46
3772.00,90.46
3771.00,90.44
3770.00,90.42
3769.00,90.41
3768.00,90.40
3767.00,90.38
3766.00,90.37
3765.00,90.38
3764.00,90.40
3763.00,90.41
3762.00,90.39
3761.00,90.36
3760.00,90.36
3759.00,90.37
3758.00,90.38
3757.00,90.37
3756.00,90.34
3755.00,90.31
3754.00,90.27
3753.00,90.22
3752.00,90.18
3751.00,90.14
3750.00,90.09
3749.00,90.04
3748.00,90.02
3747.00,90.03
3746.00,90.03
3745.00,90.03
3744.00,90.04
3743.00,90.07
3742.00,90.10
3741.00,90.10
3740.00,90.08
3739.00,90.06
3738.00,90.05
3737.00,90.04
3736.00,90.07
3735.00,90.13
3734.00,90.16
3733.00,90.15
3732.00,90.11
3731.00,90.09
3730.00,90.10
3729.00,90.12
3728.00,90.12
3727.00,90.11
3726.00,90.13
3725.00,90.15
3724.00,90.18
3723.00,90.18
3722.00,90.19
3721.00,90.20
3720.00,90.22
3719.00,90.23
3718.00,90.22
3717.00,90.21
3716.00,90.20
3715.00,90.17
3714.00,90.13
3713.00,90.09
3712.00,90.06
3711.00,90.05
3710.00,90.04
3709.00,90.02
3708.00,90.00
3707.00,89.99
3706.00,90.00
3705.00,90.01
3704.00,90.02
3703.00,90.02
3702.00,90.02
3701.00,90.01
3700.00,89.98
3699.00,89.94
3698.00,89.89
3697.00,89.85
3696.00,89.82
3695.00,89.79
3694.00,89.74
3693.00,89.69
3692.00,89.63
3691.00,89.57
3690.00,89.52
3689.00,89.46
3688.00,89.37
3687.00,89.30
3686.00,89.25
3685.00,89.22
3684.00,89.18
3683.00,89.14
3682.00,89.09
3681.00,89.04
3680.00,88.98
3679.00,88.93
3678.00,88.85
3677.00,88.73
3676.00,88.58
3675.00,88.46
3674.00,88.37
3673.00,88.27
3672.00,88.16
3671.00,88.04
3670.00,87.96
3669.00,87.93
3668.00,87.90
3667.00,87.84
3666.00,87.78
3665.00,87.72
3664.00,87.66
3663.00,87.60
3662.00,87.52
3661.00,87.43
3660.00,87.33
3659.00,87.23
3658.00,87.10
3657.00,86.97
3656.00,86.84
3655.00,86.74
3654.00,86.64
3653.00,86.54
3652.00,86.39
3651.00,86.22
3650.00,86.07
3649.00,85.95
3648.00,85.84
3647.00,85.75
3646.00,85.67
3645.00,85.60
3644.00,85.53
3643.00,85.48
3642.00,85.42
3641.00,85.37
3640.00,85.31
3639.00,85.23
3638.00,85.14
3637.00,85.05
3636.00,84.95
3635.00,84.84
3634.00,84.74
3633.00,84.64
3632.00,84.55
3631.00,84.41
3630.00,84.25
3629.00,84.09
