Created as New Dataset,Sample 005 By FTIR User 2.0 Date Friday, April 12 2024
cm-1,%T
4000.00,100.49
3999.00,100.49
3998.00,100.49
3997.00,100.48
3996.00,100.48
3995.00,100.48
3994.00,100.48
3993.00,100.48
3992.00,100.47
3991.00,100.47
3990.00,100.47
3989.00,100.48
3988.00,100.48
3987.00,100.48
3986.00,100.48
3985.00,100.47
3984.00,100.47
3983.00,100.47
3982.00,100.47
3981.00,100.47
3980.00,100.47
3979.00,100.47
3978.00,100.47
3977.00,100.47
3976.00,100.47
3975.00,100.46
3974.00,100.46
3973.00,100.47
3972.00,100.47
3971.00,100.47
3970.00,100.47
3969.00,100.47
3968.00,100.47
3967.00,100.47
3966.00,100.46
3965.00,100.46
3964.00,100.46
3963.00,100.46
3962.00,100.46
3961.00,100.46
3960.00,100.46
3959.00,100.46
3958.00,100.46
3957.00,100.47
3956.00,100.47
3955.00,100.47
3954.00,100.46
3953.00,100.46
3952.00,100.46
3951.00,100.46
3950.00,100.46
3949.00,100.47
3948.00,100.47
3947.00,100.47
3946.00,100.47
3945.00,100.47
3944.00,100.46
3943.00,100.46
3942.00,100.46
3941.00,100.47
3940.00,100.48
3939.00,100.48
3938.00,100.48
3937.00,100.48
3936.00,100.47
3935.00,100.47
3934.00,100.47
3933.00,100.47
3932.00,100.47
3931.00,100.47
3930.00,100.47
3929.00,100.46
3928.00,100.46
3927.00,100.45
3926.00,100.45
3925.00,100.45
3924.00,100.45
3923.00,100.46
3922.00,100.46
3921.00,100.47
3920.00,100.46
3919.00,100.46
3918.00,100.46
3917.00,100.47
3916.00,100.47
3915.00,100.47
3914.00,100.47
3913.00,100.47
3912.00,100.47
3911.00,100.47
3910.00,100.46
3909.00,100.46
3908.00,100.46
3907.00,100.47
3906.00,100.47
3905.00,100.47
3904.00,100.47
3903.00,100.47
3902.00,100.47
3901.00,100.47
3900.00,100.47
3899.00,100.47
3898.00,100.47
3897.00,100.47
3896.00,100.46
3895.00,100.46
3894.00,100.47
3893.00,100.47
3892.00,100.48
3891.00,100.48
3890.00,100.48
3889.00,100.48
3888.00,100.48
3887.00,100.48
3886.00,100.47
3885.00,100.45
3884.00,100.46
3883.00,100.46
3882.00,100.47
3881.00,100.47
3880.00,100.46
3879.00,100.46
3878.00,100.46
3877.00,100.47
3876.00,100.46
3875.00,100.45
3874.00,100.44
3873.00,100.45
3872.00,100.46
3871.00,100.47
3870.00,100.46
3869.00,100.45
3868.00,100.45
3867.00,100.45
3866.00,100.44
3865.00,100.44
3864.00,100.44
3863.00,100.45
3862.00,100.46
3861.00,100.47
3860.00,100.46
3859.00,100.45
3858.00,100.44
3857.00,100.44
3856.00,100.46
3855.00,100.48
3854.00,100.48
3853.00,100.47
3852.00,100.47
3851.00,100.47
3850.00,100.45
3849.00,100.44
3848.00,100.43
3847.00,100.43
3846.00,100.43
3845.00,100.43
3844.00,100.43
3843.00,100.43
3842.00,100.44
3841.00,100.45
3840.00,100.46
3839.00,100.46
3838.00,100.45
3837.00,100.45
3836.00,100.45
3835.00,100.44
3834.00,100.44
3833.00,100.43
3832.00,100.42
3831.00,100.41
3830.00,100.41
3829.00,100.41
3828.00,100.42
3827.00,100.41
3826.00,100.41
3825.00,100.41
3824.00,100.42
3823.00,100.44
3822.00,100.43
3821.00,100.41
3820.00,100.41
3819.00,100.42
3818.00,100.42
3817.00,100.41
3816.00,100.39
3815.00,100.38
3814.00,100.39
3813.00,100.39
3812.00,100.39
3811.00,100.39
3810.00,100.40
3809.00,100.41
3808.00,100.42
3807.00,100.41
3806.00,100.40
3805.00,100.40
3804.00,100.40
3803.00,100.39
3802.00,100.37
3801.00,100.36
3800.00,100.36
3799.00,100.36
3798.00,100.36
3797.00,100.35
3796.00,100.34
3795.00,100.33
3794.00,100.34
3793.00,100.34
3792.00,100.33
3791.00,100.33
3790.00,100.33
3789.00,100.33
3788.00,100.33
3787.00,100.33
3786.00,100.33
3785.00,100.32
3784.00,100.32
3783.00,100.32
3782.00,100.32
3781.00,100.31
3780.00,100.31
3779.00,100.30
3778.00,100.31
3777.00,100.31
3776.00,100.31
3775.00,100.30
3774.00,100.29
3773.00,100.29
3772.00,100.29
3771.00,100.29
3770.00,100.28
3769.00,100.28
3768.00,100.28
3767.00,100.28
3766.00,100.27
3765.00,100.25
3764.00,100.25
3763.00,100.24
3762.00,100.24
3761.00,100.24
3760.00,100.23
3759.00,100.23
3758.00,100.23
3757.00,100.23
3756.00,100.23
3755.00,100.23
3754.00,100.22
3753.00,100.21
3752.00,100.21
3751.00,100.21
3750.00,100.20
3749.00,100.18
3748.00,100.17
3747.00,100.17
3746.00,100.17
3745.00,100.15
3744.00,100.14
3743.00,100.13
3742.00,100.12
3741.00,100.11
3740.00,100.09
3739.00,100.08
3738.00,100.07
3737.00,100.06
3736.00,100.05
3735.00,100.05
3734.00,100.05
3733.00,100.04
3732.00,100.02
3731.00,99.99
3730.00,99.97
3729.00,99.96
3728.00,99.95
3727.00,99.93
3726.00,99.92
3725.00,99.92
3724.00,99.92
3723.00,99.92
3722.00,99.92
3721.00,99.91
3720.00,99.92
3719.00,99.91
3718.00,99.90
3717.00,99.89
3716.00,99.87
3715.00,99.86
3714.00,99.84
3713.00,99.81
3712.00,99.77
3711.00,99.74
3710.00,99.72
3709.00,99.70
3708.00,99.69
3707.00,99.67
3706.00,99.64
3705.00,99.62
3704.00,99.60
3703.00,99.58
3702.00,99.55
3701.00,99.52
3700.00,99.49
3699.00,99.46
3698.00,99.43
3697.00,99.40
3696.00,99.36
3695.00,99.33
3694.00,99.30
3693.00,99.27
3692.00,99.24
3691.00,99.20
3690.00,99.15
3689.00,99.08
3688.00,99.02
3687.00,98.95
3686.00,98.89
3685.00,98.84
3684.00,98.78
3683.00,98.72
3682.00,98.67
3681.00,98.61
3680.00,98.54
3679.00,98.49
3678.00,98.45
3677.00,98.38
3676.00,98.27
3675.00,98.15
3674.00,98.06
3673.00,97.99
3672.00,97.92
3671.00,97.81
3670.00,97.67
3669.00,97.56
3668.00,97.47
3667.00,97.39
3666.00,97.30
3665.00,97.21
3664.00,97.11
3663.00,97.01
3662.00,96.91
3661.00,96.81
3660.00,96.72
3659.00,96.63
3658.00,96.53
3657.00,96.42
3656.00,96.29
3655.00,96.18
3654.00,96.08
3653.00,96.00
3652.00,95.91
3651.00,95.79
3650.00,95.65
3649.00,95.50
3648.00,95.36
3647.00,95.24
3646.00,95.13
3645.00,95.03
3644.00,94.93
3643.00,94.82
