Created as New Dataset,Sample 001 By FTIR User 2.0 Date Friday, April 12 2024
cm-1,%T
4000.00,100.55
3999.00,100.55
3998.00,100.55
3997.00,100.55
3996.00,100.55
3995.00,100.55
3994.00,100.55
3993.00,100.55
3992.00,100.55
3991.00,100.55
3990.00,100.55
3989.00,100.55
3988.00,100.56
3987.00,100.56
3986.00,100.56
3985.00,100.56
3984.00,100.56
3983.00,100.56
3982.00,100.56
3981.00,100.56
3980.00,100.56
3979.00,100.56
3978.00,100.56
3977.00,100.56
3976.00,100.56
3975.00,100.56
3974.00,100.56
3973.00,100.56
3972.00,100.56
3971.00,100.56
3970.00,100.56
3969.00,100.56
3968.00,100.56
3967.00,100.56
3966.00,100.56
3965.00,100.56
3964.00,100.56
3963.00,100.56
3962.00,100.56
3961.00,100.56
3960.00,100.55
3959.00,100.55
3958.00,100.55
3957.00,100.55
3956.00,100.55
3955.00,100.55
3954.00,100.55
3953.00,100.55
3952.00,100.55
3951.00,100.55
3950.00,100.55
3949.00,100.55
3948.00,100.55
3947.00,100.55
3946.00,100.55
3945.00,100.54
3944.00,100.54
3943.00,100.54
3942.00,100.54
3941.00,100.54
3940.00,100.55
3939.00,100.55
3938.00,100.55
3937.00,100.55
3936.00,100.55
3935.00,100.55
3934.00,100.55
3933.00,100.55
3932.00,100.55
3931.00,100.54
3930.00,100.54
3929.00,100.53
3928.00,100.53
3927.00,100.52
3926.00,100.52
3925.00,100.52
3924.00,100.52
3923.00,100.53
3922.00,100.53
3921.00,100.53
3920.00,100.53
3919.00,100.52
3918.00,100.53
3917.00,100.53
3916.00,100.53
3915.00,100.53
3914.00,100.53
3913.00,100.53
3912.00,100.53
3911.00,100.53
3910.00,100.54
3909.00,100.54
3908.00,100.54
3907.00,100.54
3906.00,100.54
3905.00,100.54
3904.00,100.54
3903.00,100.54
3902.00,100.53
3901.00,100.53
3900.00,100.51
3899.00,100.50
3898.00,100.50
3897.00,100.51
3896.00,100.51
3895.00,100.52
3894.00,100.52
3893.00,100.52
3892.00,100.52
3891.00,100.52
3890.00,100.52
3889.00,100.52
3888.00,100.52
3887.00,100.52
3886.00,100.51
3885.00,100.51
3884.00,100.52
3883.00,100.53
3882.00,100.53
3881.00,100.51
3880.00,100.50
3879.00,100.50
3878.00,100.50
3877.00,100.51
3876.00,100.50
3875.00,100.50
3874.00,100.50
3873.00,100.51
3872.00,100.52
3871.00,100.51
3870.00,100.50
3869.00,100.49
3868.00,100.48
3867.00,100.49
3866.00,100.49
3865.00,100.49
3864.00,100.49
3863.00,100.49
3862.00,100.49
3861.00,100.49
3860.00,100.49
3859.00,100.49
3858.00,100.49
3857.00,100.49
3856.00,100.49
3855.00,100.50
3854.00,100.51
3853.00,100.50
3852.00,100.49
3851.00,100.48
3850.00,100.48
3849.00,100.48
