Created as New Dataset,Sample 004 By FTIR User 2.0 Date Friday, April 12 2024
cm-1,%T
4000.00,100.74
3999.00,100.75
3998.00,100.74
3997.00,100.74
3996.00,100.74
3995.00,100.74
3994.00,100.74
3993.00,100.74
3992.00,100.74
3991.00,100.74
3990.00,100.74
3989.00,100.74
3988.00,100.74
3987.00,100.75
3986.00,100.75
3985.00,100.75
3984.00,100.75
3983.00,100.75
3982.00,100.75
3981.00,100.75
3980.00,100.75
3979.00,100.75
3978.00,100.75
3977.00,100.75
3976.00,100.74
3975.00,100.74
3974.00,100.74
3973.00,100.75
3972.00,100.75
3971.00,100.76
3970.00,100.76
3969.00,100.76
3968.00,100.76
3967.00,100.75
3966.00,100.75
3965.00,100.75
3964.00,100.75
3963.00,100.74
3962.00,100.74
3961.00,100.74
3960.00,100.73
3959.00,100.74
3958.00,100.74
3957.00,100.74
3956.00,100.74
3955.00,100.74
3954.00,100.74
3953.00,100.74
3952.00,100.74
3951.00,100.74
3950.00,100.74
3949.00,100.74
3948.00,100.74
3947.00,100.74
3946.00,100.73
3945.00,100.74
3944.00,100.74
3943.00,100.74
3942.00,100.74
3941.00,100.74
3940.00,100.75
3939.00,100.75
3938.00,100.75
3937.00,100.74
3936.00,100.74
3935.00,100.74
3934.00,100.74
3933.00,100.74
3932.00,100.74
3931.00,100.73
3930.00,100.73
3929.00,100.73
3928.00,100.73
3927.00,100.74
3926.00,100.73
3925.00,100.73
3924.00,100.73
3923.00,100.73
3922.00,100.73
3921.00,100.73
3920.00,100.73
3919.00,100.73
3918.00,100.72
3917.00,100.73
3916.00,100.73
3915.00,100.73
3914.00,100.74
3913.00,100.74
3912.00,100.73
3911.00,100.72
3910.00,100.72
3909.00,100.72
3908.00,100.72
3907.00,100.72
3906.00,100.72
3905.00,100.72
3904.00,100.72
3903.00,100.71
3902.00,100.72
3901.00,100.72
3900.00,100.73
3899.00,100.73
3898.00,100.72
3897.00,100.72
3896.00,100.72
3895.00,100.72
3894.00,100.72
3893.00,100.73
3892.00,100.73
3891.00,100.73
3890.00,100.72
3889.00,100.72
3888.00,100.72
3887.00,100.72
3886.00,100.71
3885.00,100.70
3884.00,100.69
3883.00,100.71
3882.00,100.73
3881.00,100.74
3880.00,100.73
3879.00,100.72
3878.00,100.72
3877.00,100.72
3876.00,100.72
3875.00,100.71
3874.00,100.70
3873.00,100.69
3872.00,100.70
3871.00,100.72
3870.00,100.71
3869.00,100.70
3868.00,100.69
3867.00,100.70
3866.00,100.71
3865.00,100.71
3864.00,100.71
3863.00,100.71
3862.00,100.72
3861.00,100.72
3860.00,100.71
3859.00,100.70
3858.00,100.67
3857.00,100.66
3856.00,100.65
3855.00,100.66
3854.00,100.67
3853.00,100.66
3852.00,100.67
3851.00,100.68
3850.00,100.70
3849.00,100.71
3848.00,100.71
3847.00,100.70
3846.00,100.70
3845.00,100.70
3844.00,100.70
3843.00,100.70
