Created as New Dataset,Sample 000 By FTIR User 2.0 Date Friday, April 12 2024
cm-1,%T
4000.00,100.04
3999.00,100.04
3998.00,100.04
3997.00,100.04
3996.00,100.04
3995.00,100.04
3994.00,100.04
3993.00,100.04
3992.00,100.04
3991.00,100.03
3990.00,100.03
3989.00,100.03
3988.00,100.03
3987.00,100.03
3986.00,100.03
3985.00,100.03
3984.00,100.03
3983.00,100.03
3982.00,100.03
3981.00,100.03
3980.00,100.03
3979.00,100.03
3978.00,100.03
3977.00,100.03
3976.00,100.03
3975.00,100.03
3974.00,100.02
3973.00,100.03
3972.00,100.03
3971.00,100.03
3970.00,100.03
3969.00,100.03
3968.00,100.03
3967.00,100.03
3966.00,100.03
3965.00,100.03
3964.00,100.03
3963.00,100.03
3962.00,100.02
3961.00,100.02
3960.00,100.02
3959.00,100.02
3958.00,100.02
3957.00,100.02
3956.00,100.02
3955.00,100.02
3954.00,100.02
3953.00,100.02
3952.00,100.02
3951.00,100.02
3950.00,100.02
3949.00,100.02
3948.00,100.02
3947.00,100.02
3946.00,100.02
3945.00,100.01
3944.00,100.00
3943.00,100.00
3942.00,100.00
3941.00,100.01
3940.00,100.01
3939.00,100.02
3938.00,100.02
3937.00,100.02
3936.00,100.02
3935.00,100.02
3934.00,100.02
3933.00,100.02
3932.00,100.02
3931.00,100.01
3930.00,100.01
3929.00,100.00
3928.00,99.99
3927.00,99.99
3926.00,99.98
3925.00,99.99
3924.00,100.00
3923.00,100.00
3922.00,100.00
3921.00,100.00
3920.00,99.99
3919.00,99.99
3918.00,99.99
3917.00,100.00
3916.00,100.01
3915.00,100.01
3914.00,100.01
3913.00,100.01
3912.00,100.00
3911.00,100.00
3910.00,100.01
3909.00,100.01
3908.00,100.01
3907.00,100.00
3906.00,100.00
3905.00,99.99
3904.00,99.98
3903.00,99.96
3902.00,99.94
3901.00,99.93
3900.00,99.92
3899.00,99.92
3898.00,99.93
3897.00,99.94
3896.00,99.96
3895.00,99.96
3894.00,99.97
3893.00,99.97
3892.00,99.98
3891.00,99.98
3890.00,99.99
3889.00,99.99
3888.00,99.97
3887.00,99.96
3886.00,99.95
3885.00,99.95
3884.00,99.96
3883.00,99.95
3882.00,99.95
3881.00,99.94
3880.00,99.94
3879.00,99.96
3878.00,99.97
3877.00,99.97
3876.00,99.96
3875.00,99.96
3874.00,99.96
3873.00,99.96
3872.00,99.96
3871.00,99.95
3870.00,99.94
3869.00,99.93
3868.00,99.93
3867.00,99.92
3866.00,99.91
3865.00,99.91
3864.00,99.92
3863.00,99.93
3862.00,99.94
3861.00,99.95
3860.00,99.95
3859.00,99.95
3858.00,99.95
3857.00,99.95
3856.00,99.95
3855.00,99.94
3854.00,99.93
3853.00,99.91
3852.00,99.90
3851.00,99.89
3850.00,99.90
3849.00,99.90
3848.00,99.92
3847.00,99.93
3846.00,99.94
3845.00,99.95
3844.00,99.96
3843.00,99.96
3842.00,99.96
3841.00,99.95
3840.00,99.93
3839.00,99.92
3838.00,99.90
3837.00,99.89
3836.00,99.89
3835.00,99.89
3834.00,99.90
3833.00,99.90
3832.00,99.91
3831.00,99.93
3830.00,99.94
3829.00,99.95
3828.00,99.96
3827.00,99.96
3826.00,99.96
3825.00,99.96
3824.00,99.96
3823.00,99.95
3822.00,99.93
3821.00,99.92
3820.00,99.92
3819.00,99.92
3818.00,99.91
3817.00,99.90
3816.00,99.89
3815.00,99.90
3814.00,99.93
3813.00,99.95
3812.00,99.97
3811.00,99.97
3810.00,99.98
3809.00,99.98
3808.00,99.98
3807.00,99.99
3806.00,99.99
3805.00,99.98
3804.00,99.96
3803.00,99.94
3802.00,99.92
3801.00,99.92
3800.00,99.93
3799.00,99.93
3798.00,99.92
3797.00,99.91
3796.00,99.91
3795.00,99.93
3794.00,99.95
3793.00,99.97
3792.00,99.98
3791.00,99.98
3790.00,99.99
3789.00,100.00
3788.00,100.00
3787.00,100.00
3786.00,100.00
3785.00,100.00
3784.00,100.00
3783.00,100.00
3782.00,99.99
3781.00,99.98
3780.00,99.97
3779.00,99.97
3778.00,99.98
3777.00,99.98
3776.00,99.98
3775.00,99.98
3774.00,99.99
3773.00,99.99
3772.00,99.99
3771.00,99.99
3770.00,99.98
3769.00,99.98
3768.00,99.97
3767.00,99.96
3766.00,99.95
3765.00,99.95
3764.00,99.96
3763.00,99.96
3762.00,99.96
3761.00,99.96
3760.00,99.95
3759.00,99.95
3758.00,99.95
3757.00,99.96
3756.00,99.96
3755.00,99.95
3754.00,99.94
3753.00,99.93
3752.00,99.91
3751.00,99.90
3750.00,99.87
3749.00,99.85
3748.00,99.84
3747.00,99.82
3746.00,99.80
3745.00,99.80
3744.00,99.82
3743.00,99.86
3742.00,99.89
