Created as New Dataset,Sample 007 By FTIR User 2.0 Date Friday, April 12 2024
cm-1,%T
4000.00,99.96
3999.00,99.96
3998.00,99.95
3997.00,99.95
3996.00,99.96
3995.00,99.96
3994.00,99.96
3993.00,99.95
3992.00,99.95
3991.00,99.95
3990.00,99.95
3989.00,99.95
3988.00,99.96
3987.00,99.96
3986.00,99.96
3985.00,99.96
3984.00,99.96
3983.00,99.95
3982.00,99.95
3981.00,99.95
3980.00,99.95
3979.00,99.95
3978.00,99.94
3977.00,99.94
3976.00,99.94
3975.00,99.94
3974.00,99.94
3973.00,99.95
3972.00,99.95
3971.00,99.96
3970.00,99.95
3969.00,99.95
3968.00,99.95
3967.00,99.95
3966.00,99.95
3965.00,99.95
3964.00,99.95
3963.00,99.95
3962.00,99.95
3961.00,99.94
3960.00,99.94
3959.00,99.94
3958.00,99.94
3957.00,99.94
3956.00,99.94
3955.00,99.93
3954.00,99.92
3953.00,99.92
3952.00,99.92
3951.00,99.92
3950.00,99.92
3949.00,99.92
3948.00,99.92
3947.00,99.91
3946.00,99.91
3945.00,99.90
3944.00,99.90
3943.00,99.90
3942.00,99.91
3941.00,99.92
3940.00,99.93
3939.00,99.93
3938.00,99.92
3937.00,99.92
3936.00,99.92
3935.00,99.92
3934.00,99.92
3933.00,99.91
3932.00,99.91
3931.00,99.91
3930.00,99.90
3929.00,99.90
3928.00,99.89
3927.00,99.89
3926.00,99.88
3925.00,99.88
3924.00,99.89
3923.00,99.89
3922.00,99.88
3921.00,99.88
3920.00,99.87
3919.00,99.87
3918.00,99.87
3917.00,99.87
3916.00,99.88
3915.00,99.89
3914.00,99.90
3913.00,99.91
3912.00,99.91
3911.00,99.91
3910.00,99.91
3909.00,99.90
3908.00,99.88
3907.00,99.87
3906.00,99.85
3905.00,99.84
3904.00,99.82
3903.00,99.81
3902.00,99.80
3901.00,99.79
3900.00,99.79
3899.00,99.79
3898.00,99.80
3897.00,99.82
3896.00,99.82
3895.00,99.83
3894.00,99.84
3893.00,99.85
3892.00,99.85
3891.00,99.85
3890.00,99.84
3889.00,99.84
3888.00,99.84
3887.00,99.83
3886.00,99.81
3885.00,99.81
3884.00,99.82
3883.00,99.82
3882.00,99.82
3881.00,99.82
3880.00,99.82
3879.00,99.82
3878.00,99.83
3877.00,99.83
3876.00,99.82
3875.00,99.80
3874.00,99.80
3873.00,99.81
3872.00,99.81
3871.00,99.80
3870.00,99.77
3869.00,99.76
3868.00,99.76
3867.00,99.76
3866.00,99.76
3865.00,99.76
3864.00,99.78
3863.00,99.79
3862.00,99.80
3861.00,99.79
3860.00,99.78
3859.00,99.76
3858.00,99.75
3857.00,99.74
3856.00,99.73
3855.00,99.74
3854.00,99.74
3853.00,99.73
3852.00,99.72
3851.00,99.72
3850.00,99.73
3849.00,99.75
3848.00,99.77
3847.00,99.78
3846.00,99.79
3845.00,99.79
3844.00,99.79
3843.00,99.78
3842.00,99.77
3841.00,99.76
3840.00,99.74
3839.00,99.73
3838.00,99.71
3837.00,99.71
3836.00,99.71
3835.00,99.72
3834.00,99.72
3833.00,99.73
3832.00,99.74
3831.00,99.75
3830.00,99.76
3829.00,99.77
3828.00,99.77
3827.00,99.76
3826.00,99.75
3825.00,99.75
3824.00,99.74
3823.00,99.73
3822.00,99.72
3821.00,99.70
3820.00,99.69
3819.00,99.70
3818.00,99.70
3817.00,99.69
3816.00,99.68
3815.00,99.70
3814.00,99.73
3813.00,99.75
3812.00,99.76
3811.00,99.76
3810.00,99.76
3809.00,99.77
3808.00,99.76
3807.00,99.74
3806.00,99.73
3805.00,99.72
3804.00,99.71
3803.00,99.68
3802.00,99.65
3801.00,99.64
3800.00,99.65
3799.00,99.67
3798.00,99.68
3797.00,99.68
3796.00,99.68
3795.00,99.70
3794.00,99.72
3793.00,99.74
3792.00,99.75
3791.00,99.75
3790.00,99.76
3789.00,99.76
3788.00,99.76
3787.00,99.75
3786.00,99.75
3785.00,99.74
3784.00,99.74
3783.00,99.73
3782.00,99.73
3781.00,99.73
3780.00,99.72
3779.00,99.72
3778.00,99.72
3777.00,99.72
3776.00,99.71
3775.00,99.69
3774.00,99.69
3773.00,99.68
3772.00,99.68
3771.00,99.67
3770.00,99.66
3769.00,99.65
3768.00,99.65
3767.00,99.64
3766.00,99.63
3765.00,99.62
3764.00,99.61
3763.00,99.61
3762.00,99.60
3761.00,99.59
3760.00,99.58
3759.00,99.58
3758.00,99.57
3757.00,99.56
3756.00,99.54
3755.00,99.52
3754.00,99.49
3753.00,99.47
3752.00,99.45
3751.00,99.43
3750.00,99.38
3749.00,99.34
3748.00,99.33
3747.00,99.32
3746.00,99.31
3745.00,99.30
3744.00,99.31
3743.00,99.33
3742.00,99.36
3741.00,99.36
3740.00,99.35
3739.00,99.34
3738.00,99.32
3737.00,99.31
3736.00,99.31
3735.00,99.30
3734.00,99.29
3733.00,99.28
3732.00,99.27
3731.00,99.26
3730.00,99.27
3729.00,99.28
3728.00,99.28
3727.00,99.27
3726.00,99.26
3725.00,99.25
3724.00,99.25
3723.00,99.24
3722.00,99.24
3721.00,99.23
3720.00,99.22
3719.00,99.21
3718.00,99.19
3717.00,99.17
3716.00,99.14
3715.00,99.11
3714.00,99.08
3713.00,99.05
3712.00,99.02
3711.00,98.98
3710.00,98.96
3709.00,98.93
3708.00,98.91
3707.00,98.90
3706.00,98.88
3705.00,98.87
3704.00,98.85
3703.00,98.83
3702.00,98.80
3701.00,98.76
3700.00,98.72
3699.00,98.68
3698.00,98.63
3697.00,98.59
3696.00,98.54
3695.00,98.49
3694.00,98.43
3693.00,98.37
3692.00,98.31
3691.00,98.25
3690.00,98.16
3689.00,98.05
3688.00,97.93
3687.00,97.84
3686.00,97.77
3685.00,97.70
3684.00,97.63
3683.00,97.55
3682.00,97.46
3681.00,97.35
3680.00,97.24
3679.00,97.14
3678.00,97.03
3677.00,96.89
3676.00,96.71
3675.00,96.50
3674.00,96.35
3673.00,96.25
3672.00,96.14
3671.00,96.01
3670.00,95.87
3669.00,95.75
3668.00,95.66
3667.00,95.59
3666.00,95.50
3665.00,95.40
3664.00,95.29
3663.00,95.18
3662.00,95.06
3661.00,94.94
3660.00,94.82
3659.00,94.71
3658.00,94.59
3657.00,94.45
3656.00,94.30
3655.00,94.18
3654.00,94.07
3653.00,93.97
3652.00,93.85
3651.00,93.71
3650.00,93.57
3649.00,93.42
3648.00,93.28
3647.00,93.17
3646.00,93.10
3645.00,93.04
3644.00,92.98
3643.00,92.90
3642.00,92.83
3641.00,92.74
3640.00,92.65
3639.00,92.54
3638.00,92.43
