Sample Number,Sample Origin,Initial Water Content(g),Time before cutting sample (days),Length (mm),Width (mm),Thickness (mm),Day 1 Resistance (Ohms),Day 2 Resistance (Ohms),Day 3 Resistance (Ohms),Day 6 Resistance (Ohms),Day 7 Resistance (Ohms),Day 8 Resistance (Ohms)
,4A,4,1,19.5,5.7,1.1,1.84E+05,2.01E+07,1.88E+03,6.27E+02,6.19E+02,5.62E+02
,4B,4,1,13.6,4.6,0.93,2.54E+05,1.19E+07,1.08E+07,1.01E+07,1.35E+07,1.54E+07
,4C,4,1,13.4,4.1,1.2,3.90E+05,1.32E+07,1.01E+07,7.20E+06,4.10E+06,8.10E+06
,4A,4,2,15.3,5.36,0.52,,2.55E+07,,,,
,4B,4,2,15.3,3.9,0.59,,9.50E+06,,,,
,4C,4,2,14.3,4.2,0.56,,6.00E+05,,,,
,8A,8,2,13.8,3.2,1.11,,1.66E+05,8.50E+06,4.70E+06,4.60E+06,6.03E+02
,8B,8,2,12.7,4.91,1.11,,1.97E+05,2.92E+01,2.12E+01,2.28E+01,2.35E+01
,8C,8,2,15.6,2.79,0.81,,4.95E+05,7.60E+06,2.47E+06,4.80E+06,5.60E+06
,12A,12,2,19,6.62,1.42,,5.30E+04,3.04E+01,3.96E+01,1.99E+01,1.80E+01
,12B,12,2,15.9,4.4,1.24,,4.70E+04,3.75E+01,2.93E+01,2.80E+01,2.83E+01
,12C,12,2,16.1,5.88,1.64,,1.08E+05,7.00E+00,6.90E+00,6.30E+00,6.20E+00
,16A,16,2,12.4,5.11,2.26,,9.45E+04,1.84E+01,1.04E+01,1.36E+01,1.60E+01
,16B,16,2,18.9,5.53,2.3,,1.50E+05,9.50E+00,6.60E+00,6.50E+00,6.60E+00
,16C,16,2,15.8,5.62,2.87,,2.55E+05,7.60E+05,2.50E+06,2.80E+06,2.70E+06
,4A,4,3,13.49,4.43,0.52,,,2.02E+07,9.20E+06,1.28E+07,2.51E+07
,4B,4,3,11.9,4.5,0.41,,,1.89E+07,1.15E+07,1.77E+07,3.12E+07
,4C,4,3,13.47,5.26,0.46,,,3.80E+06,8.30E+06,1.05E+07,2.02E+07
,8A,8,3,10.92,4.69,0.48,,,4.10E+06,8.40E+06,1.16E+07,2.17E+07
,8B,8,3,12.66,3.03,0.53,,,6.67E+06,5.40E+06,1.01E+07,1.65E+07
,8C,8,3,10.5,4.05,0.65,,,2.06E+06,8.57E+06,1.19E+07,1.89E+07
,12A,12,3,14.83,4.81,0.73,,,3.99E+05,1.48E+06,1.70E+06,7.60E+05
,12B,12,3,14.65,3.46,0.6,,,1.22E+06,1.95E+07,2.85E+07,5.02E+07
,12C,12,3,17.01,4.5,0.97,,,1.08E+05,1.23E+01,1.23E+01,1.22E+01
,16A,16,3,20.37,4.75,1.88,,,5.20E+04,2.07E+01,2.13E+01,2.25E+01
,16B,16,3,17.96,5.04,1.24,,,1.23E+05,5.80E+00,5.70E+00,4.90E+06
,16C,16,3,14.35,4.53,1.61,,,2.85E+05,6.50E+05,1.07E+06,2.00E+06
,4A,4,6,13.1,4.2,0.46,,,,1.01E+07,1.47E+07,2.55E+07
,4B,4,6,13.1,3.8,0.33,,,,1.91E+07,3.54E+07,3.21E+07
,4C,4,6,11.4,3.4,0.41,,,,1.27E+07,2.23E+07,3.68E+07
,8A,8,6,12.7,4,0.48,,,,9.20E+06,1.37E+07,2.56E+07
,8B,8,6,13.4,2.48,0.56,,,,1.13E+07,1.65E+07,2.93E+07
,8C,8,6,11.8,3.1,0.71,,,,1.07E+07,1.55E+07,3.22E+07
,12A,12,6,13.8,4,0.58,,,,7.70E+06,1.15E+07,2.33E+07
,12B,12,6,13.9,3.1,0.45,,,,2.01E+07,3.01E+07,5.45E+07
,12C,12,6,17.8,3.7,0.65,,,,1.26E+07,1.91E+07,3.18E+07
,16A,16,6,16.6,4,0.71,,,,9.80E+06,1.34E+07,2.10E+07
,16B,16,6,15,4,0.74,,,,1.22E+07,1.83E+07,1.76E+07
,16C,16,6,13.1,4,0.66,,,,7.00E+06,8.80E+06,1.78E+07
,12C,12,8,15.5,4.1,0.61,,,,,,2.93E+07
