`,Minutes @ 50C,1Hr Gelling,24Hr Drying ,Length (mm),Width (mm),Height (mm),Top (Ohm),Bottom (Ohm),Top Conductivity (S/cm),Bottom Conductivity (S/cm),
,0,Fridge,35C Dehydrator,12.3,3.37,0.29,1.00E+100,6.10E+00,1.26E-98,2.06E+01,
,0,Fridge,STP,7.85,3.48,0.91,1.00E+06,4.90E+05,2.48E-05,5.06E-05,
,0,STP,35C Dehydrator,9.88,2.46,0.35,2.21E+07,2.60E+00,5.19E-06,4.41E+01,
,0,STP,STP,9.01,3.73,0.45,1.30E+05,1.42E+02,4.13E-04,3.78E-01,20.91839525
,10,Fridge,35C Dehydrator,10.01,3.45,0.34,1.04E+07,1.30E+00,8.21E-06,6.56E+01,
,10,Fridge,STP,10.03,3.42,0.48,1.59E+06,7.10E+00,3.84E-05,8.61E+00,
,10,STP,35C Dehydrator,10.25,3.08,0.29,8.40E+06,1.60E+00,1.37E-05,7.17E+01,
,10,STP,STP,10.16,4.08,0.2,5.60E+06,1.30E+00,2.22E-05,9.58E+01,36.9227863
,20,Fridge,35C Dehydrator,12.63,3.46,0.29,1.93E+07,2.60E+00,6.52E-06,4.84E+01,
,20,Fridge,STP,8.71,3.49,0.33,4.85E+01,7.50E+00,1.56E+00,1.01E+01,
,20,STP,35C Dehydrator,14.58,3.31,0.32,3.52E+07,1.90E+00,3.91E-06,7.24E+01,
,20,STP,STP,14.5,3.25,0.3,7.90E+00,5.20E+00,1.88E+01,2.86E+01,26.76154084
,60,Fridge,35C Dehydrator,12.63,3.65,0.32,4.26E+06,9.00E-01,2.54E-05,1.20E+02,
,60,Fridge,STP,14.78,3.05,0.27,1.95E+06,1.40E+00,9.20E-05,1.28E+02,
,60,STP,35C Dehydrator,13.89,3.46,0.26,1.08E+07,1.00E+00,1.43E-05,1.54E+02,
,60,STP,STP,12.35,3.22,0.39,1.67E+06,1.50E+00,5.89E-05,6.56E+01,37.32747343
,,,,,,,,,Mean Conductivity Top,Mean Conductivity Bottom,
,,,,,,,,Dehydrator Drying,9.65E-06,7.47E+01,
,,,,,,,,STP Drying,2.55E+00,4.22E+01,
,,,,,,,,Fridge Gelling,1.95E-01,5.02E+01,
,,,,,,,,STP Gelling,2.35E+00,6.66E+01,
