frame_index,centroid_1_x,centroid_1_y,centroid_2_x,centroid_2_y,centroid_3_x,centroid_3_y,centroid_4_x,centroid_4_y,centroid_5_x,centroid_5_y,centroid_6_x,centroid_6_y,centroid_7_x,centroid_7_y,centroid_8_x,centroid_8_y
0,216.5,383.0,250.0,382.0,220.0,422.0,244.0,424.5,220.5,505.0,243.5,504.0,219.5,536.0,244.5,535.5
1,216.5,383.02164,250.0,382.0287,220.0,422.01437,244.0,424.51224,220.5,505.0663,243.5,504.00427,219.5,535.9948,244.5,535.50366
2,216.5,382.96112,250.0,382.00803,220.0,422.03436,244.0,424.50073,220.5,505.0116,243.5,503.88828,219.5,535.9428,244.5,535.491
3,216.5,382.9412,250.0,381.96118,220.0,421.9803,244.0,424.49326,220.5,504.98315,243.5,503.86118,219.5,535.92615,244.5,535.44745
4,216.5,383.0541,250.0,382.0987,220.0,422.07913,244.0,424.62305,220.5,505.08862,243.5,504.05997,219.5,536.0303,244.5,535.4937
5,216.5,383.0255,250.0,382.07043,220.0,422.03616,244.0,424.4582,220.5,505.0722,243.5,504.01862,219.5,536.00336,244.5,535.4863
6,216.5,383.04114,250.0,382.06747,220.0,422.0849,244.0,424.47995,220.5,505.0641,243.5,504.0204,219.5,536.0192,244.5,535.5104
7,216.5,382.96027,250.0,381.9586,220.0,421.9618,244.0,424.4202,220.5,504.99332,243.5,503.86835,219.5,535.96747,244.5,535.4227
8,216.5,383.00656,250.0,382.03494,220.0,422.00482,244.0,424.45105,220.5,505.02872,243.5,503.88327,219.5,535.9791,244.5,535.4559
9,216.5,382.9711,250.0,381.99384,220.0,422.0022,244.0,424.4777,220.5,505.02026,243.5,503.8866,219.5,535.9564,244.5,535.45245
10,216.5,382.97128,250.0,381.99414,220.0,422.0048,244.0,424.48172,220.5,505.0181,243.5,503.91425,219.5,535.95715,244.5,535.4498
11,216.5,382.95782,250.0,381.9831,220.0,422.01202,244.0,424.45996,220.5,505.01328,243.5,503.9194,219.5,535.9688,244.5,535.44946
12,216.5,382.9453,250.0,381.9541,220.0,421.97275,244.0,424.4123,220.5,505.02036,243.5,503.9135,219.5,535.9672,244.5,535.4486
13,216.5,382.73962,250.0,381.6943,220.0,421.75897,244.0,424.18665,220.5,504.88004,243.5,503.7184,219.5,535.8924,244.5,535.39026
14,216.5,382.74542,250.0,381.69174,220.0,421.7745,244.0,424.19873,220.5,504.90692,243.5,503.81424,219.5,535.9967,244.5,535.4501
15,216.5,382.75677,250.0,381.65985,220.0,421.78577,244.0,424.17065,220.5,504.9299,243.5,503.81943,219.5,536.0325,244.5,535.5095
16,216.5,382.55444,250.0,381.426,220.0,421.5929,244.0,423.9683,220.5,504.76804,243.5,503.70584,219.5,535.99396,244.5,535.465
17,216.5,382.38992,250.0,381.27945,220.0,421.47778,244.0,423.8153,220.5,504.70462,243.5,503.5767,219.5,535.91986,244.5,535.4037
18,216.5,382.42023,250.0,381.25345,220.0,421.47412,244.0,423.79874,220.5,504.7193,243.5,503.5756,219.5,535.9571,244.5,535.41626
19,216.5,382.27808,250.0,381.0769,220.0,421.35214,244.0,423.75534,220.5,504.63684,243.5,503.55182,219.5,535.90936,244.5,535.36786
20,216.5,382.10217,250.0,380.9173,220.0,421.15918,244.0,423.55353,220.5,504.53238,243.5,503.4152,219.5,535.80615,244.5,535.31104
21,216.5,382.22552,250.0,380.99255,220.0,421.30093,244.0,423.63297,220.5,504.6519,243.5,503.52588,219.5,535.987,244.5,535.40826
22,216.5,382.01382,250.0,380.76672,220.0,421.0951,244.0,423.45483,220.5,504.48706,243.5,503.39606,219.5,535.8544,244.5,535.2542
23,216.5,381.88663,250.0,380.64362,220.0,421.0905,244.0,423.39896,220.5,504.4865,243.5,503.3849,219.5,535.8582,244.5,535.2657
24,216.5,381.88635,250.0,380.62552,220.0,421.07,244.0,423.41245,220.5,504.49173,243.5,503.40106,219.5,535.8922,244.5,535.2993
25,216.5,381.65555,250.0,380.4578,220.0,420.9184,244.0,423.1552,220.5,504.365,243.5,503.32623,219.5,535.82745,244.5,535.2568
26,216.5,381.5916,250.0,380.35278,220.0,420.8465,244.0,423.11365,220.5,504.34952,243.5,503.27646,219.5,535.8078,244.5,535.23535
27,216.5,381.61957,250.0,380.35864,220.0,420.8595,244.0,423.13712,220.5,504.36047,243.5,503.2945,219.5,535.8669,244.5,535.3002
28,216.5,381.36728,250.0,380.0688,220.0,420.66464,244.0,422.8518,220.5,504.15887,243.5,503.0937,219.5,535.7263,244.5,535.11597
29,216.5,381.34628,250.0,380.03485,220.0,420.59988,244.0,422.7767,220.5,504.17035,243.5,503.0753,219.5,535.74927,244.5,535.13794
30,216.5,381.3249,250.0,380.0446,220.0,420.6251,244.0,422.7459,220.5,504.17303,243.5,503.0804,219.5,535.86414,244.5,535.23425
31,216.5,381.213,250.0,379.84518,220.0,420.48083,244.0,422.67532,220.5,504.17725,243.5,503.0874,219.5,535.85486,244.5,535.2269
32,216.5,381.0884,250.0,379.7528,220.0,420.41473,244.0,422.5531,220.5,504.1728,243.5,503.0538,219.5,535.8248,244.5,535.1748
33,216.5,380.90674,250.0,379.53644,220.0,420.22504,244.0,422.3741,220.5,504.08472,243.5,502.87338,219.5,535.78534,244.5,535.1167
34,216.5,380.61987,250.0,379.2794,220.0,419.90158,244.0,422.16882,220.5,503.90018,243.5,502.6812,219.5,535.6086,244.5,534.8843
35,216.5,380.6716,250.0,379.32236,220.0,420.00015,244.0,422.33865,220.5,504.11627,243.5,502.8517,219.5,535.8304,244.5,535.1551
36,216.5,380.438,250.0,379.08777,220.0,419.69696,244.0,422.1207,220.5,503.9485,243.5,502.6831,219.5,535.8097,244.5,535.1126
37,216.5,380.09164,250.0,378.78796,220.0,419.51938,244.0,421.8442,220.5,503.836,243.5,502.5525,219.5,535.65625,244.5,534.94904
38,216.5,379.8949,250.0,378.5525,220.0,419.3995,244.0,421.6552,220.5,503.8204,243.5,502.54184,219.5,535.6453,244.5,534.94916
39,216.5,379.73807,250.0,378.36813,220.0,419.3576,244.0,421.4496,220.5,503.76947,243.5,502.44916,219.5,535.6628,244.5,534.9783
40,216.5,379.58765,250.0,378.19125,220.0,419.11026,244.0,421.30664,220.5,503.7162,243.5,502.3624,219.5,535.6401,244.5,534.95135
41,216.5,379.4283,250.0,377.9793,220.0,418.93582,244.0,421.04724,220.5,503.63797,243.5,502.30173,219.5,535.58307,244.5,534.9206
42,216.5,379.40414,250.0,377.9562,220.0,418.95193,244.0,421.04218,220.5,503.68723,243.5,502.35233,219.5,535.6537,244.5,535.03516
43,216.5,379.2604,250.0,377.7924,220.0,418.78268,244.0,420.8264,220.5,503.64023,243.5,502.22604,219.5,535.6453,244.5,535.0002
44,216.5,379.14563,250.0,377.67798,220.0,418.66977,244.0,420.75275,220.5,503.635,243.5,502.21698,219.5,535.62933,244.5,534.9942
45,216.5,378.96176,250.0,377.5486,220.0,418.49158,244.0,420.67087,220.5,503.6117,243.5,502.16745,219.5,535.60394,244.5,534.97955
46,216.5,378.8607,250.0,377.44855,220.0,418.45505,244.0,420.63632,220.5,503.56735,243.5,502.11487,219.5,535.5773,244.5,534.96124
47,216.5,378.69662,250.0,377.26505,220.0,418.245,244.0,420.42758,220.5,503.4805,243.5,502.05533,219.5,535.5511,244.5,534.88525
48,216.5,378.62692,250.0,377.18518,220.0,418.18933,244.0,420.36743,220.5,503.45065,243.5,502.05057,219.5,535.5341,244.5,534.9044
49,216.5,378.46783,250.0,376.98846,220.0,418.03186,244.0,420.16367,220.5,503.3955,243.5,502.03152,219.5,535.5064,244.5,534.8797
50,216.5,378.3952,250.0,376.9641,220.0,418.00046,244.0,420.1292,220.5,503.3847,243.5,501.96716,219.5,535.4622,244.5,534.8561
51,216.5,378.38266,250.0,376.8939,220.0,417.92548,244.0,420.06207,220.5,503.39218,243.5,502.0014,219.5,535.499,244.5,534.89746
52,216.5,378.18903,250.0,376.69275,220.0,417.7803,244.0,419.8343,220.5,503.2464,243.5,501.79724,219.5,535.42017,244.5,534.8224
53,216.5,378.0013,250.0,376.56238,220.0,417.65457,244.0,419.70142,220.5,503.2918,243.5,501.80023,219.5,535.39777,244.5,534.79266
54,216.5,377.99542,250.0,376.53012,220.0,417.65118,244.0,419.6363,220.5,503.2768,243.5,501.80576,219.5,535.3979,244.5,534.7912
55,216.5,377.88843,250.0,376.4464,220.0,417.58188,244.0,419.4045,220.5,503.2635,243.5,501.80396,219.5,535.4099,244.5,534.7936
56,216.5,377.6414,250.0,376.2212,220.0,417.39227,244.0,419.18872,220.5,503.21603,243.5,501.7023,219.5,535.3804,244.5,534.74585
57,216.5,377.4732,250.0,376.0623,220.0,417.24713,244.0,419.15317,220.5,503.2116,243.5,501.70428,219.5,535.3777,244.5,534.7451
58,216.5,377.45215,250.0,376.04602,220.0,417.25143,244.0,419.14755,220.5,503.20343,243.5,501.70883,219.5,535.37775,244.5,534.7465
59,216.5,377.34763,250.0,375.88867,220.0,417.11658,244.0,418.98712,220.5,503.1656,243.5,501.70755,219.5,535.36224,244.5,534.7452
60,216.5,377.30136,250.0,375.88318,220.0,417.09164,244.0,418.9773,220.5,503.17572,243.5,501.76337,219.5,535.396,244.5,534.7785
