frame_index,centroid_1_x,centroid_1_y,centroid_2_x,centroid_2_y,centroid_3_x,centroid_3_y,centroid_4_x,centroid_4_y,centroid_5_x,centroid_5_y,centroid_6_x,centroid_6_y,centroid_7_x,centroid_7_y,centroid_8_x,centroid_8_y
0,223.5,379.0,246.0,378.5,225.5,415.0,246.0,416.0,227.0,499.5,245.0,497.5,226.5,536.0,244.0,536.0
1,223.5,379.01022,246.0,378.47974,225.5,415.00644,246.0,416.0661,227.0,499.50253,245.0,497.48502,226.5,535.9805,244.0,536.00507
2,223.5,378.9447,246.0,378.2694,225.5,414.94345,246.0,415.89017,227.0,499.41013,245.0,497.41077,226.5,535.7879,244.0,535.831
3,223.5,379.00677,246.0,378.50824,225.5,414.9943,246.0,416.05475,227.0,499.4871,245.0,497.46194,226.5,535.98676,244.0,536.0262
4,223.5,379.0425,246.0,378.53198,225.5,415.01532,246.0,416.07242,227.0,499.4935,245.0,497.4504,226.5,535.99677,244.0,536.02094
5,223.5,379.03113,246.0,378.50073,225.5,414.9718,246.0,416.0107,227.0,499.46777,245.0,497.40875,226.5,535.9849,244.0,536.0065
6,223.5,379.03912,246.0,378.52057,225.5,414.95166,246.0,416.02347,227.0,499.4824,245.0,497.40347,226.5,535.97437,244.0,535.9931
7,223.5,379.04553,246.0,378.50946,225.5,414.99915,246.0,416.0342,227.0,499.48016,245.0,497.40524,226.5,535.96796,244.0,536.00714
8,223.5,379.02823,246.0,378.5079,225.5,415.00143,246.0,416.0235,227.0,499.47928,245.0,497.4043,226.5,535.95966,244.0,535.9995
9,223.5,379.02942,246.0,378.50574,225.5,414.99295,246.0,416.0639,227.0,499.47644,245.0,497.4099,226.5,535.9729,244.0,536.00006
10,223.5,379.02545,246.0,378.52835,225.5,414.98566,246.0,416.07666,227.0,499.4752,245.0,497.39713,226.5,535.9576,244.0,535.9964
11,223.5,379.01947,246.0,378.53064,225.5,414.98077,246.0,416.0787,227.0,499.45578,245.0,497.41077,226.5,535.94806,244.0,535.9613
12,223.5,379.02548,246.0,378.54315,225.5,415.00046,246.0,416.05353,227.0,499.45984,245.0,497.40076,226.5,535.9726,244.0,535.9674
13,223.5,379.02686,246.0,378.53708,225.5,415.0435,246.0,416.07428,227.0,499.47287,245.0,497.39053,226.5,535.96826,244.0,535.9648
14,223.5,378.93945,246.0,378.37408,225.5,414.8616,246.0,415.95334,227.0,499.3875,245.0,497.21698,226.5,535.86224,244.0,535.8617
15,223.5,378.96136,246.0,378.46368,225.5,414.87228,246.0,415.98145,227.0,499.38132,245.0,497.2587,226.5,535.8642,244.0,535.8906
16,223.5,379.0149,246.0,378.51202,225.5,414.93524,246.0,415.99,227.0,499.42154,245.0,497.4028,226.5,535.94855,244.0,535.9685
17,223.5,379.0046,246.0,378.5453,225.5,414.95294,246.0,415.9857,227.0,499.42224,245.0,497.37228,226.5,535.94116,244.0,535.9738
18,223.5,379.00558,246.0,378.5325,225.5,414.9531,246.0,415.98254,227.0,499.41495,245.0,497.36752,226.5,535.9302,244.0,535.9487
19,223.5,379.03152,246.0,378.67218,225.5,415.07196,246.0,416.08112,227.0,499.50885,245.0,497.41785,226.5,536.0253,244.0,535.9999
20,223.5,379.00546,246.0,378.53235,225.5,415.00885,246.0,416.05594,227.0,499.47052,245.0,497.4031,226.5,535.9642,244.0,535.98975
21,223.5,379.02,246.0,378.54593,225.5,415.0209,246.0,416.07123,227.0,499.47473,245.0,497.44418,226.5,535.94806,244.0,535.982
22,223.5,379.034,246.0,378.5469,225.5,415.0017,246.0,416.06216,227.0,499.47577,245.0,497.43198,226.5,535.93823,244.0,535.9816
23,223.5,378.9802,246.0,378.4064,225.5,414.91754,246.0,415.9893,227.0,499.4613,245.0,497.37286,226.5,535.8561,244.0,535.9043
24,223.5,378.9722,246.0,378.52115,225.5,414.95505,246.0,415.9825,227.0,499.46042,245.0,497.3685,226.5,535.90765,244.0,535.949
25,223.5,378.92975,246.0,378.3836,225.5,414.84198,246.0,415.9467,227.0,499.42218,245.0,497.3774,226.5,535.7704,244.0,535.9076
26,223.5,379.00067,246.0,378.5448,225.5,414.97095,246.0,416.0149,227.0,499.4668,245.0,497.37277,226.5,535.8701,244.0,535.9546
27,223.5,379.05286,246.0,378.7163,225.5,415.06116,246.0,416.06052,227.0,499.52786,245.0,497.4438,226.5,535.95483,244.0,535.9903
28,223.5,379.02673,246.0,378.58856,225.5,414.9798,246.0,416.02475,227.0,499.48206,245.0,497.41208,226.5,535.88654,244.0,535.94855
29,223.5,379.028,246.0,378.5731,225.5,415.0235,246.0,416.06946,227.0,499.50916,245.0,497.44485,226.5,535.9046,244.0,535.9656
30,223.5,379.0644,246.0,378.63416,225.5,415.07806,246.0,416.10562,227.0,499.52908,245.0,497.53696,226.5,535.9193,244.0,536.0096
31,223.5,379.08664,246.0,378.66415,225.5,415.03494,246.0,416.08652,227.0,499.51352,245.0,497.49554,226.5,535.8666,244.0,535.94604
32,223.5,379.1621,246.0,378.78592,225.5,415.1826,246.0,416.2364,227.0,499.60883,245.0,497.5654,226.5,535.9511,244.0,535.9809
33,223.5,379.11356,246.0,378.76645,225.5,415.13873,246.0,416.20413,227.0,499.60696,245.0,497.5551,226.5,535.83765,244.0,535.87115
34,223.5,379.18466,246.0,378.83496,225.5,415.20804,246.0,416.3217,227.0,499.6757,245.0,497.7397,226.5,535.8582,244.0,535.9052
35,223.5,379.3635,246.0,379.06415,225.5,415.42245,246.0,416.56274,227.0,499.8539,245.0,497.95898,226.5,535.9255,244.0,535.9623
36,223.5,379.4256,246.0,379.10083,225.5,415.45047,246.0,416.63644,227.0,499.87903,245.0,497.91257,226.5,535.90436,244.0,535.96344
37,223.5,379.49976,246.0,379.07516,225.5,415.46863,246.0,416.69724,227.0,499.884,245.0,497.96094,226.5,535.87335,244.0,535.94653
38,223.5,379.5131,246.0,379.09045,225.5,415.47632,246.0,416.6916,227.0,499.87988,245.0,497.9475,226.5,535.82056,244.0,535.9122
39,223.5,379.557,246.0,379.10312,225.5,415.50717,246.0,416.70938,227.0,499.88858,245.0,497.9893,226.5,535.8171,244.0,535.8714
40,223.5,379.72333,246.0,379.24072,225.5,415.60876,246.0,416.7861,227.0,499.97803,245.0,498.16196,226.5,535.89087,244.0,535.92865
41,223.5,379.72595,246.0,379.21362,225.5,415.5804,246.0,416.81918,227.0,499.98682,245.0,498.098,226.5,535.8911,244.0,535.9234
42,223.5,379.73926,246.0,379.21582,225.5,415.57886,246.0,416.8358,227.0,500.0052,245.0,498.10715,226.5,535.89026,244.0,535.9224
43,223.5,379.6362,246.0,379.1816,225.5,415.52295,246.0,416.7561,227.0,499.90024,245.0,498.0685,226.5,535.74084,244.0,535.87384
44,223.5,379.7609,246.0,379.20496,225.5,415.62344,246.0,416.87515,227.0,500.1051,245.0,498.13742,226.5,535.89954,244.0,535.9966
45,223.5,379.77835,246.0,379.2104,225.5,415.62778,246.0,416.88385,227.0,500.08026,245.0,498.14465,226.5,535.899,244.0,536.00104
46,223.5,379.79874,246.0,379.23822,225.5,415.6405,246.0,416.8877,227.0,500.08243,245.0,498.1711,226.5,535.91736,244.0,536.02875
47,223.5,379.6923,246.0,379.18295,225.5,415.60748,246.0,416.80127,227.0,500.01285,245.0,498.15527,226.5,535.82983,244.0,535.94556
48,223.5,379.6917,246.0,379.17255,225.5,415.5871,246.0,416.7952,227.0,500.01166,245.0,498.14008,226.5,535.83276,244.0,535.9483
49,223.5,379.7024,246.0,379.1779,225.5,415.58945,246.0,416.8326,227.0,500.01385,245.0,498.14722,226.5,535.87585,244.0,535.9533
50,223.5,379.73093,246.0,379.19916,225.5,415.63235,246.0,416.8886,227.0,500.0462,245.0,498.1726,226.5,535.9006,244.0,535.9934
51,223.5,379.79224,246.0,379.24768,225.5,415.63284,246.0,416.9359,227.0,500.0489,245.0,498.21835,226.5,535.96826,244.0,536.0143
52,223.5,379.81598,246.0,379.236,225.5,415.66333,246.0,416.92096,227.0,500.05096,245.0,498.21597,226.5,535.97437,244.0,536.0214
53,223.5,379.58694,246.0,379.163,225.5,415.48676,246.0,416.70477,227.0,499.8599,245.0,498.031,226.5,535.746,244.0,535.8551
54,223.5,379.88303,246.0,379.37192,225.5,415.6974,246.0,416.96854,227.0,500.12247,245.0,498.25867,226.5,536.0153,244.0,536.1106
55,223.5,379.6793,246.0,379.18945,225.5,415.56577,246.0,416.84012,227.0,500.02258,245.0,498.08902,226.5,535.85406,244.0,535.97687
56,223.5,379.83466,246.0,379.30206,225.5,415.66016,246.0,416.92163,227.0,500.05374,245.0,498.2103,226.5,535.9709,244.0,536.0626
57,223.5,379.81174,246.0,379.26132,225.5,415.62045,246.0,416.90805,227.0,500.06143,245.0,498.19193,226.5,535.94135,244.0,536.05334
58,223.5,379.80948,246.0,379.27655,225.5,415.62018,246.0,416.89902,227.0,500.0626,245.0,498.19583,226.5,535.9503,244.0,536.0532
59,223.5,379.80664,246.0,379.2783,225.5,415.621,246.0,416.89398,227.0,500.05588,245.0,498.19785,226.5,535.96497,244.0,536.0476
60,223.5,379.67157,246.0,379.1593,225.5,415.49316,246.0,416.7368,227.0,499.8918,245.0,498.0381,226.5,535.8098,244.0,535.93524
61,223.5,379.7818,246.0,379.23813,225.5,415.64386,246.0,416.93124,227.0,500.02554,245.0,498.115,226.5,535.994,244.0,536.1251
62,223.5,379.63254,246.0,379.2072,225.5,415.52823,246.0,416.74075,227.0,499.94357,245.0,498.0702,226.5,535.87915,244.0,535.9662
63,223.5,379.66605,246.0,379.2216,225.5,415.54614,246.0,416.73553,227.0,499.93402,245.0,498.08908,226.5,535.8941,244.0,535.97003
64,223.5,379.6763,246.0,379.24905,225.5,415.554,246.0,416.76236,227.0,499.94827,245.0,498.07977,226.5,535.98065,244.0,536.10944
65,223.5,379.5441,246.0,379.1978,225.5,415.49634,246.0,416.75003,227.0,499.9344,245.0,498.028,226.5,535.91895,244.0,536.025
66,223.5,379.59113,246.0,379.2163,225.5,415.4941,246.0,416.75778,227.0,499.9434,245.0,498.03174,226.5,535.9763,244.0,536.07623
67,223.5,379.51443,246.0,379.1914,225.5,415.4874,246.0,416.66058,227.0,499.94046,245.0,498.02817,226.5,535.9444,244.0,536.03107
68,223.5,379.505,246.0,379.17795,225.5,415.48587,246.0,416.62646,227.0,499.9439,245.0,498.0227,226.5,535.9673,244.0,536.03534
69,223.5,379.5002,246.0,379.18073,225.5,415.45996,246.0,416.64053,227.0,499.9497,245.0,498.05527,226.5,535.96405,244.0,536.03864
70,223.5,379.43066,246.0,379.14978,225.5,415.40265,246.0,416.62662,227.0,499.9283,245.0,498.00626,226.5,535.9468,244.0,536.0332
71,223.5,379.41397,246.0,379.11856,225.5,415.40387,246.0,416.5851,227.0,499.918,245.0,498.0454,226.5,535.9357,244.0,536.0203
72,223.5,379.40305,246.0,379.1139,225.5,415.37943,246.0,416.6021,227.0,499.90762,245.0,498.02774,226.5,535.95935,244.0,536.0059
73,223.5,379.3788,246.0,379.12305,225.5,415.36746,246.0,416.60452,227.0,499.88025,245.0,498.0014,226.5,535.9689,244.0,536.00977
74,223.5,379.26904,246.0,378.96664,225.5,415.26178,246.0,416.45065,227.0,499.8045,245.0,497.9563,226.5,535.90765,244.0,535.98376
75,223.5,379.2964,246.0,379.12482,225.5,415.30438,246.0,416.4483,227.0,499.81082,245.0,497.93286,226.5,535.9794,244.0,536.04785
