frame_index,centroid_1_x,centroid_1_y,centroid_2_x,centroid_2_y,centroid_3_x,centroid_3_y,centroid_4_x,centroid_4_y,centroid_5_x,centroid_5_y,centroid_6_x,centroid_6_y,centroid_7_x,centroid_7_y,centroid_8_x,centroid_8_y
0,231.5,407.0,250.0,406.5,232.0,436.5,250.0,436.5,234.5,515.0,252.0,514.5,234.5,541.0,254.5,540.0
1,231.5,407.0249,250.0,406.50186,232.0,436.4733,250.0,436.46246,234.5,514.96765,252.0,514.4607,234.5,540.95996,254.5,539.96387
2,231.5,407.02704,250.0,406.4952,232.0,436.48492,250.0,436.4424,234.5,515.0123,252.0,514.51013,234.5,541.01514,254.5,539.9751
3,231.5,406.99008,250.0,406.47293,232.0,436.4569,250.0,436.40613,234.5,514.95215,252.0,514.49646,234.5,540.9748,254.5,539.9378
4,231.5,406.96506,250.0,406.46027,232.0,436.4235,250.0,436.39005,234.5,514.9221,252.0,514.4216,234.5,540.9424,254.5,539.9048
5,231.5,406.92508,250.0,406.43552,232.0,436.37598,250.0,436.3675,234.5,514.9066,252.0,514.433,234.5,540.8954,254.5,539.8865
6,231.5,406.8878,250.0,406.42667,232.0,436.35596,250.0,436.3716,234.5,514.89197,252.0,514.38574,234.5,540.87427,254.5,539.85846
7,231.5,406.90073,250.0,406.4182,232.0,436.35022,250.0,436.36658,234.5,514.8695,252.0,514.3823,234.5,540.8872,254.5,539.88385
8,231.5,406.95123,250.0,406.46045,232.0,436.40656,250.0,436.3742,234.5,514.90283,252.0,514.41064,234.5,540.9721,254.5,539.92114
9,231.5,406.95648,250.0,406.4525,232.0,436.3751,250.0,436.3372,234.5,514.9131,252.0,514.4364,234.5,540.95135,254.5,539.86786
10,231.5,406.93646,250.0,406.44928,232.0,436.38174,250.0,436.33783,234.5,514.89075,252.0,514.433,234.5,540.9166,254.5,539.87067
11,231.5,406.8986,250.0,406.42795,232.0,436.35107,250.0,436.3195,234.5,514.8758,252.0,514.429,234.5,540.87695,254.5,539.8698
12,231.5,406.91348,250.0,406.4596,232.0,436.3549,250.0,436.31445,234.5,514.8788,252.0,514.4335,234.5,540.9545,254.5,539.8811
13,231.5,406.91336,250.0,406.44177,232.0,436.36618,250.0,436.32834,234.5,514.8657,252.0,514.4332,234.5,540.9605,254.5,539.8874
