XY
	ZCURVE (sheetcut_hwmg_electrodes_pair1.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair1.DTA)
1.000e+006	1.375e+003	1.000e+006	-2.356e+000
7.944e+005	1.396e+003	7.944e+005	-2.064e+000
6.310e+005	1.379e+003	6.310e+005	-1.289e+000
5.013e+005	1.374e+003	5.013e+005	-9.363e-001
3.981e+005	1.364e+003	3.981e+005	-9.839e-001
3.162e+005	1.340e+003	3.162e+005	-3.812e-001
2.512e+005	1.354e+003	2.512e+005	-7.223e-001
1.996e+005	1.360e+003	1.996e+005	-5.471e-001
1.585e+005	1.350e+003	1.585e+005	-6.779e-001
1.259e+005	1.340e+003	1.259e+005	-8.620e-001
1.000e+005	1.349e+003	1.000e+005	-5.996e-001
7.951e+004	1.350e+003	7.951e+004	-6.613e-001
6.311e+004	1.350e+003	6.311e+004	-8.426e-001
5.021e+004	1.352e+003	5.021e+004	-1.006e+000
3.990e+004	1.359e+003	3.990e+004	-1.138e+000
3.170e+004	1.361e+003	3.170e+004	-1.275e+000
2.514e+004	1.365e+003	2.514e+004	-1.503e+000
1.998e+004	1.368e+003	1.998e+004	-1.691e+000
1.588e+004	1.373e+003	1.588e+004	-1.976e+000
1.260e+004	1.378e+003	1.260e+004	-2.237e+000
1.002e+004	1.387e+003	1.002e+004	-2.540e+000
7.928e+003	1.394e+003	7.928e+003	-2.844e+000
6.308e+003	1.403e+003	6.308e+003	-3.116e+000
5.035e+003	1.414e+003	5.035e+003	-3.531e+000
3.993e+003	1.425e+003	3.993e+003	-3.942e+000
3.144e+003	1.439e+003	3.144e+003	-4.397e+000
2.520e+003	1.453e+003	2.520e+003	-4.846e+000
2.001e+003	1.471e+003	2.001e+003	-5.335e+000
1.581e+003	1.491e+003	1.581e+003	-5.866e+000
1.254e+003	1.513e+003	1.254e+003	-6.408e+000
1.001e+003	1.538e+003	1.001e+003	-6.937e+000
7.900e+002	1.566e+003	7.900e+002	-7.513e+000
6.288e+002	1.597e+003	6.288e+002	-8.063e+000
5.022e+002	1.631e+003	5.022e+002	-8.611e+000
4.002e+002	1.668e+003	4.002e+002	-9.153e+000
3.155e+002	1.711e+003	3.155e+002	-9.724e+000
2.520e+002	1.756e+003	2.520e+002	-1.024e+001
2.003e+002	1.807e+003	2.003e+002	-1.075e+001
1.580e+002	1.864e+003	1.580e+002	-1.123e+001
1.256e+002	1.925e+003	1.256e+002	-1.160e+001
9.973e+001	1.991e+003	9.973e+001	-1.194e+001
7.945e+001	2.060e+003	7.945e+001	-1.214e+001
6.292e+001	2.145e+003	6.292e+001	-1.192e+001
4.987e+001	2.217e+003	4.987e+001	-1.190e+001
4.006e+001	2.294e+003	4.006e+001	-1.180e+001
3.167e+001	2.375e+003	3.167e+001	-1.134e+001
2.493e+001	2.456e+003	2.493e+001	-1.080e+001
2.003e+001	2.525e+003	2.003e+001	-1.019e+001
1.578e+001	2.595e+003	1.578e+001	-9.500e+000
1.247e+001	2.657e+003	1.247e+001	-8.795e+000
9.973e+000	2.711e+003	9.973e+000	-8.135e+000
			
