Frequency,sheetcut_hwmg_electrodes_pair2_ex1,sheetcut_hwmg_electrodes_pair2_ex10,sheetcut_hwmg_electrodes_pair2_ex2,sheetcut_hwmg_electrodes_pair2_ex3,sheetcut_hwmg_electrodes_pair2_ex4,sheetcut_hwmg_electrodes_pair2_ex5,sheetcut_hwmg_electrodes_pair2_ex6,sheetcut_hwmg_electrodes_pair2_ex7,sheetcut_hwmg_electrodes_pair2_ex8,sheetcut_hwmg_electrodes_pair2_ex9,mean,std dev
1000000.0,375.2,315.1,355.8,344.3,337.3,330.3,325.3,323.6,319.8,316.2,334.29,18.33589103370763
794400.0,374.3,315.6,356.4,345.5,337.5,330.4,326.6,322.8,320.0,317.3,334.64000000000004,18.091058564937537
631000.0,375.5,316.6,356.7,345.5,338.1,331.4,327.0,323.4,320.5,317.4,335.21000000000004,18.167688350475412
501300.0,374.6,316.8,357.3,345.0,338.3,332.1,328.6,324.8,321.3,318.1,335.69,17.690474838172094
398100.0,376.3,317.6,357.0,345.3,338.8,332.1,328.0,324.6,321.8,318.8,336.03000000000003,17.90145524810762
316200.0,376.4,317.8,353.8,345.9,338.5,331.8,328.6,324.6,321.8,318.9,335.81000000000006,17.551492814003023
251200.0,378.4,317.7,356.1,347.0,339.5,332.0,327.8,324.9,321.4,319.2,336.4,18.35799553328195
199600.0,378.6,318.5,357.5,346.3,338.8,332.6,328.5,325.3,322.1,319.2,336.73999999999995,18.301540918731412
158500.0,377.9,317.9,357.7,345.9,338.9,333.4,329.7,325.1,322.3,319.9,336.87,18.069645818333015
125900.0,377.8,318.6,360.2,348.3,340.1,333.7,329.2,326.0,322.8,320.3,337.7,18.29508130618719
100000.0,379.3,319.3,359.6,348.6,341.0,334.4,330.5,326.8,323.5,320.9,338.39000000000004,18.273174327412306
79510.0,380.3,319.9,360.5,349.4,341.7,335.1,331.2,327.6,324.2,321.6,339.15,18.37330944604156
63110.0,381.3,320.8,361.0,350.4,342.6,336.0,332.1,328.5,325.1,322.5,340.03,18.355274446327407
50210.0,382.8,321.9,362.3,351.5,343.8,337.1,333.2,329.6,326.2,323.6,341.19999999999993,18.469542495687328
39900.0,384.4,323.2,364.0,353.0,345.2,338.6,334.6,331.0,327.5,325.0,342.65,18.570904662939817
31700.0,386.3,324.9,365.2,354.9,347.0,340.3,336.4,332.6,329.2,326.6,344.34000000000003,18.583336621823324
25140.0,388.9,326.9,366.8,357.2,349.1,342.5,338.5,334.7,331.2,328.7,346.44999999999993,18.669239406039015
19980.0,391.8,329.3,371.5,359.8,351.8,345.1,341.0,337.3,333.8,331.2,349.26,19.01042871689116
15880.0,395.4,332.4,373.6,363.2,355.0,348.2,344.3,340.5,336.8,334.2,352.36,19.029671568369224
12600.0,399.7,336.2,377.1,367.3,359.3,352.3,348.2,344.5,340.8,338.1,356.35,19.085400179194565
