XY
	ZCURVE (sheetcut_hwmg_electrodes_pair2_ex5.DTA)		Y2 - ZCURVE (sheetcut_hwmg_electrodes_pair2_ex5.DTA)
1.000e+006	3.303e+002	1.000e+006	4.563e-002
7.944e+005	3.304e+002	7.944e+005	-3.156e-001
6.310e+005	3.314e+002	6.310e+005	-3.920e-001
5.013e+005	3.321e+002	5.013e+005	-4.613e-001
3.981e+005	3.321e+002	3.981e+005	-5.042e-001
3.162e+005	3.318e+002	3.162e+005	-6.700e-001
2.512e+005	3.320e+002	2.512e+005	-7.442e-001
1.996e+005	3.326e+002	1.996e+005	-8.182e-001
1.585e+005	3.334e+002	1.585e+005	-1.272e+000
1.259e+005	3.337e+002	1.259e+005	-1.346e+000
1.000e+005	3.344e+002	1.000e+005	-1.542e+000
7.951e+004	3.351e+002	7.951e+004	-1.801e+000
6.311e+004	3.360e+002	6.311e+004	-2.190e+000
5.021e+004	3.371e+002	5.021e+004	-2.599e+000
3.990e+004	3.386e+002	3.990e+004	-3.076e+000
3.170e+004	3.403e+002	3.170e+004	-3.618e+000
2.514e+004	3.425e+002	2.514e+004	-4.276e+000
1.998e+004	3.451e+002	1.998e+004	-5.018e+000
1.588e+004	3.482e+002	1.588e+004	-5.900e+000
1.260e+004	3.523e+002	1.260e+004	-6.884e+000
1.002e+004	3.572e+002	1.002e+004	-8.026e+000
7.928e+003	3.636e+002	7.928e+003	-9.324e+000
6.308e+003	3.714e+002	6.308e+003	-1.076e+001
5.035e+003	3.808e+002	5.035e+003	-1.227e+001
3.993e+003	3.929e+002	3.993e+003	-1.395e+001
3.144e+003	4.084e+002	3.144e+003	-1.574e+001
2.520e+003	4.259e+002	2.520e+003	-1.741e+001
2.001e+003	4.478e+002	2.001e+003	-1.909e+001
1.581e+003	4.742e+002	1.581e+003	-2.067e+001
1.254e+003	5.044e+002	1.254e+003	-2.205e+001
1.001e+003	5.377e+002	1.001e+003	-2.317e+001
7.900e+002	5.769e+002	7.900e+002	-2.412e+001
6.288e+002	6.187e+002	6.288e+002	-2.480e+001
5.022e+002	6.633e+002	5.022e+002	-2.527e+001
4.002e+002	7.122e+002	4.002e+002	-2.557e+001
3.155e+002	7.673e+002	3.155e+002	-2.572e+001
2.520e+002	8.233e+002	2.520e+002	-2.571e+001
2.003e+002	8.848e+002	2.003e+002	-2.555e+001
1.580e+002	9.526e+002	1.580e+002	-2.521e+001
1.256e+002	1.023e+003	1.256e+002	-2.471e+001
9.973e+001	1.096e+003	9.973e+001	-2.400e+001
7.945e+001	1.172e+003	7.945e+001	-2.307e+001
6.292e+001	1.250e+003	6.292e+001	-2.184e+001
4.987e+001	1.328e+003	4.987e+001	-2.073e+001
4.006e+001	1.401e+003	4.006e+001	-1.933e+001
3.167e+001	1.474e+003	3.167e+001	-1.774e+001
2.493e+001	1.544e+003	2.493e+001	-1.612e+001
2.003e+001	1.601e+003	2.003e+001	-1.463e+001
1.578e+001	1.657e+003	1.578e+001	-1.308e+001
1.247e+001	1.707e+003	1.247e+001	-1.162e+001
9.973e+000	1.747e+003	9.973e+000	-1.033e+001
			
