Time,Extension,Load,Length,Width,Thickness,CS Area,Strain,Stress
(s),(mm),(N),(mm),(mm),(mm),(mm^2),(mm/mm),(MPa)
0,0,-0.00123,16.5,2.52,0.44,1.1088,0,-0.001109307359
0.1,0.00366,-0.00135,,,,,0.0002218181818,-0.001217532468
0.2,0.01356,-0.00217,,,,,0.0008218181818,-0.001957070707
0.3,0.02182,0.00156,,,,,0.001322424242,0.001406926407
0.4,0.03066,-0.0005,,,,,0.001858181818,-0.0004509379509
0.5,0.03904,0.00175,,,,,0.002366060606,0.001578282828
0.6,0.04712,0.00016,,,,,0.002855757576,0.0001443001443
0.7,0.05546,0.00144,,,,,0.003361212121,0.001298701299
0.8,0.06412,0.00102,,,,,0.003886060606,0.0009199134199
0.9,0.07231,0.00236,,,,,0.004382424242,0.002128427128
1,0.08022,-0.0001,,,,,0.004861818182,-0.00009018759019
1.1,0.08897,-0.00142,,,,,0.005392121212,-0.001280663781
1.2,0.09733,0.00333,,,,,0.005898787879,0.003003246753
1.3,0.10556,0.00061,,,,,0.006397575758,0.0005501443001
1.4,0.11366,-0.00006,,,,,0.006888484848,-0.00005411255411
1.5,0.12243,0.00016,,,,,0.00742,0.0001443001443
1.6,0.13067,0.00095,,,,,0.007919393939,0.0008567821068
1.7,0.13871,0.00384,,,,,0.008406666667,0.003463203463
1.8,0.14707,0.00187,,,,,0.008913333333,0.001686507937
1.9,0.15562,0.00333,,,,,0.009431515152,0.003003246753
2,0.16399,0.00312,,,,,0.009938787879,0.002813852814
2.1,0.17193,0.00282,,,,,0.01042,0.002543290043
2.2,0.18068,0.00157,,,,,0.01095030303,0.001415945166
2.3,0.18909,0.00277,,,,,0.01146,0.002498196248
2.4,0.19718,0.00489,,,,,0.01195030303,0.00441017316
2.5,0.20527,0.00373,,,,,0.01244060606,0.003363997114
2.6,0.21407,0.00387,,,,,0.01297393939,0.00349025974
2.7,0.2224,0.00223,,,,,0.01347878788,0.002011183261
2.8,0.23035,0.00244,,,,,0.01396060606,0.002200577201
2.9,0.23878,0.00378,,,,,0.01447151515,0.003409090909
3,0.24739,0.00208,,,,,0.01499333333,0.001875901876
3.1,0.25562,0.00285,,,,,0.01549212121,0.00257034632
3.2,0.26352,0.00627,,,,,0.01597090909,0.005654761905
3.3,0.2723,0.00428,,,,,0.0165030303,0.00386002886
3.4,0.28071,0.00549,,,,,0.01701272727,0.004951298701
3.5,0.28883,0.00509,,,,,0.01750484848,0.004590548341
3.6,0.29706,0.00487,,,,,0.01800363636,0.004392135642
3.7,0.3058,0.00452,,,,,0.01853333333,0.004076479076
3.8,0.31399,0.00409,,,,,0.01902969697,0.003688672439
3.9,0.3219,0.00551,,,,,0.01950909091,0.004969336219
4,0.33048,0.00324,,,,,0.02002909091,0.002922077922
4.1,0.33903,0.00649,,,,,0.02054727273,0.005853174603
4.2,0.34734,0.00478,,,,,0.02105090909,0.004310966811
4.3,0.35532,0.0059,,,,,0.02153454545,0.005321067821
4.4,0.36407,0.0061,,,,,0.02206484848,0.005501443001
4.5,0.3723,0.00363,,,,,0.02256363636,0.003273809524
4.6,0.3805,0.00754,,,,,0.02306060606,0.0068001443
4.7,0.38865,0.00722,,,,,0.02355454545,0.006511544012
4.8,0.39731,0.00583,,,,,0.02407939394,0.005257936508
4.9,0.40569,0.00581,,,,,0.02458727273,0.00523989899
