Time,Extension,Load,Length,Width,Thickness,CS Area,Strain,Stress
(s),(mm),(N),(mm),(mm),(mm),(mm^2),(mm/mm),(MPa)
0,0,-0.02779,16.5,2.82,0.35,0.987,0,-0.02815602837
0.1,0.00369,-0.00824,,,,,0.0002236363636,-0.008348530902
0.2,0.01337,0.03358,,,,,0.0008103030303,0.03402228977
0.3,0.02191,0.05702,,,,,0.001327878788,0.0577710233
0.4,0.03011,0.07548,,,,,0.001824848485,0.07647416413
0.5,0.03876,0.09206,,,,,0.002349090909,0.09327254306
0.6,0.04708,0.1062,,,,,0.002853333333,0.1075987842
0.7,0.05511,0.11782,,,,,0.00334,0.1193718338
0.8,0.06364,0.12939,,,,,0.003856969697,0.1310942249
0.9,0.07221,0.14211,,,,,0.004376363636,0.1439817629
1,0.08048,0.15242,,,,,0.004877575758,0.1544275583
1.1,0.08835,0.1567,,,,,0.005354545455,0.1587639311
1.2,0.09708,0.16452,,,,,0.005883636364,0.1666869301
1.3,0.10546,0.17517,,,,,0.006391515152,0.1774772036
1.4,0.11363,0.18155,,,,,0.006886666667,0.1839412361
1.5,0.12182,0.18802,,,,,0.007383030303,0.1904964539
1.6,0.13055,0.19481,,,,,0.007912121212,0.1973758865
1.7,0.13879,0.19934,,,,,0.008411515152,0.2019655522
1.8,0.14667,0.20256,,,,,0.008889090909,0.2052279635
1.9,0.15525,0.20813,,,,,0.009409090909,0.2108713273
2,0.16379,0.21674,,,,,0.009926666667,0.2195947315
2.1,0.17202,0.22116,,,,,0.01042545455,0.2240729483
2.2,0.17998,0.22341,,,,,0.01090787879,0.2263525836
2.3,0.18884,0.22744,,,,,0.01144484848,0.2304356636
2.4,0.19726,0.23265,,,,,0.01195515152,0.2357142857
2.5,0.20523,0.23581,,,,,0.01243818182,0.2389159068
2.6,0.21349,0.23779,,,,,0.01293878788,0.2409219858
2.7,0.22215,0.24363,,,,,0.01346363636,0.2468389058
2.8,0.23037,0.24629,,,,,0.01396181818,0.2495339412
2.9,0.23843,0.24758,,,,,0.01445030303,0.2508409321
3,0.24711,0.25155,,,,,0.01497636364,0.2548632219
3.1,0.25552,0.2572,,,,,0.01548606061,0.2605876393
3.2,0.26374,0.25849,,,,,0.01598424242,0.2618946302
3.3,0.27175,0.25863,,,,,0.01646969697,0.2620364742
3.4,0.2804,0.26248,,,,,0.01699393939,0.2659371834
3.5,0.28871,0.26573,,,,,0.01749757576,0.2692299899
3.6,0.29693,0.26804,,,,,0.01799575758,0.2715704154
3.7,0.30518,0.2699,,,,,0.01849575758,0.2734549139
3.8,0.31384,0.271,,,,,0.01902060606,0.2745694022
3.9,0.32214,0.27421,,,,,0.01952363636,0.2778216819
4,0.33002,0.27604,,,,,0.02000121212,0.2796757852
4.1,0.33869,0.27783,,,,,0.02052666667,0.2814893617
4.2,0.34714,0.28239,,,,,0.02103878788,0.2861094225
4.3,0.35538,0.28408,,,,,0.02153818182,0.2878216819
