Time,Extension,Load,Length,Width,Thickness,CS Area,Strain,Stress
(s),(mm),(N),(mm),(mm),(mm),(mm^2),(mm/mm),(MPa)
0,0,-0.00143,16.5,2.82,0.33,0.9306,0,-0.001536643026
0.1,0.00411,0.00086,,,,,0.0002490909091,0.0009241349667
0.2,0.01373,-0.00013,,,,,0.0008321212121,-0.0001396948205
0.3,0.02229,-0.0019,,,,,0.001350909091,-0.002041693531
0.4,0.03106,-0.00297,,,,,0.001882424242,-0.003191489362
0.5,0.03938,0.0004,,,,,0.002386666667,0.0004298302171
0.6,0.04725,0.00255,,,,,0.002863636364,0.002740167634
0.7,0.05585,0.00143,,,,,0.003384848485,0.001536643026
0.8,0.06432,0.00088,,,,,0.003898181818,0.0009456264775
0.9,0.07251,-0.00101,,,,,0.004394545455,-0.001085321298
1,0.08056,0.00253,,,,,0.004882424242,0.002718676123
1.1,0.08939,0.00074,,,,,0.005417575758,0.0007951859016
1.2,0.09767,0.00228,,,,,0.005919393939,0.002450032237
1.3,0.10573,0.00366,,,,,0.006407878788,0.003932946486
1.4,0.11405,0.00196,,,,,0.006912121212,0.002106168064
1.5,0.12264,0.00307,,,,,0.007432727273,0.003298946916
1.6,0.13095,0.00295,,,,,0.007936363636,0.003169997851
1.7,0.13891,0.00449,,,,,0.008418787879,0.004824844187
1.8,0.14756,0.00248,,,,,0.008943030303,0.002664947346
1.9,0.15608,0.00283,,,,,0.009459393939,0.003041048786
2,0.1642,0.00182,,,,,0.009951515152,0.001955727488
2.1,0.17216,0.00408,,,,,0.01043393939,0.004384268214
2.2,0.18102,0.00713,,,,,0.01097090909,0.007661723619
2.3,0.18925,0.00659,,,,,0.01146969697,0.007081452826
2.4,0.19733,0.005,,,,,0.01195939394,0.005372877713
2.5,0.20579,0.00384,,,,,0.01247212121,0.004126370084
2.6,0.21442,0.00499,,,,,0.01299515152,0.005362131958
2.7,0.22269,0.00598,,,,,0.01349636364,0.006425961745
2.8,0.23048,0.00795,,,,,0.01396848485,0.008542875564
2.9,0.2392,0.00472,,,,,0.0144969697,0.005071996561
3,0.24765,0.00672,,,,,0.01500909091,0.007221147647
3.1,0.25582,0.00876,,,,,0.01550424242,0.009413281754
3.2,0.264,0.00685,,,,,0.016,0.007360842467
3.3,0.27277,0.00402,,,,,0.01653151515,0.004319793681
3.4,0.28107,0.00831,,,,,0.01703454545,0.00892972276
3.5,0.289,0.00715,,,,,0.01751515152,0.00768321513
3.6,0.29746,0.00702,,,,,0.01802787879,0.007543520309
3.7,0.30602,0.00839,,,,,0.01854666667,0.009015688803
3.8,0.31421,0.01191,,,,,0.0190430303,0.01279819471
3.9,0.32221,0.00894,,,,,0.01952787879,0.009606705351
4,0.33098,0.00818,,,,,0.02005939394,0.008790027939
4.1,0.33933,0.00942,,,,,0.02056545455,0.01012250161
4.2,0.34754,0.00876,,,,,0.0210630303,0.009413281754
4.3,0.35564,0.01115,,,,,0.02155393939,0.0119815173
4.4,0.36428,0.0106,,,,,0.02207757576,0.01139050075
4.5,0.37258,0.00999,,,,,0.02258060606,0.01073500967
4.6,0.38067,0.01066,,,,,0.02307090909,0.01145497528
4.7,0.38916,0.01105,,,,,0.02358545455,0.01187405975
4.8,0.39777,0.01336,,,,,0.02410727273,0.01435632925
4.9,0.40597,0.00862,,,,,0.02460424242,0.009262841178
5,0.41382,0.01187,,,,,0.02508,0.01275521169
5.1,0.42263,0.0106,,,,,0.02561393939,0.01139050075
5.2,0.43099,0.01285,,,,,0.02612060606,0.01380829572
5.3,0.43912,0.0105,,,,,0.02661333333,0.0112830432
5.4,0.44734,0.01267,,,,,0.02711151515,0.01361487213
5.5,0.45606,0.01043,,,,,0.02764,0.01120782291
5.6,0.46431,0.01225,,,,,0.02814,0.0131635504
5.7,0.47221,0.0154,,,,,0.02861878788,0.01654846336
5.8,0.48079,0.01208,,,,,0.02913878788,0.01298087256
5.9,0.48932,0.01432,,,,,0.02965575758,0.01538792177
6,0.49759,0.01446,,,,,0.0301569697,0.01553836235
6.1,0.50558,0.01359,,,,,0.03064121212,0.01460348162
6.2,0.5144,0.01296,,,,,0.03117575758,0.01392649903
