Time,Extension,Load,Length,Width,Thickness,CS Area,Strain,Stress
(s),(mm),(N),(mm),(mm),(mm),(mm^2),(mm/mm),(MPa)
0,0,-0.02731,16.5,2.82,0.34,0.9588,0,-0.02848352107
0.1,0.00417,-0.01816,,,,,0.0002527272727,-0.01894034209
0.2,0.01358,-0.00396,,,,,0.000823030303,-0.004130162703
0.3,0.02213,0.00203,,,,,0.001341212121,0.002117229871
0.4,0.03081,0.00822,,,,,0.001867272727,0.008573216521
0.5,0.03903,0.01366,,,,,0.002365454545,0.01424697539
0.6,0.04703,0.01951,,,,,0.00285030303,0.02034835211
0.7,0.0558,0.02288,,,,,0.003381818182,0.02386316229
0.8,0.06424,0.02729,,,,,0.003893333333,0.02846266166
0.9,0.0724,0.02957,,,,,0.004387878788,0.03084063413
1,0.08046,0.03148,,,,,0.004876363636,0.03283270755
1.1,0.08909,0.03556,,,,,0.005399393939,0.0370880267
1.2,0.09747,0.04,,,,,0.005907272727,0.04171881519
1.3,0.10548,0.04281,,,,,0.006392727273,0.04464956195
1.4,0.11393,0.04514,,,,,0.006904848485,0.04707968294
1.5,0.12252,0.04699,,,,,0.007425454545,0.04900917814
1.6,0.13082,0.05018,,,,,0.007928484848,0.05233625365
1.7,0.13873,0.05265,,,,,0.008407878788,0.05491239049
1.8,0.1474,0.05587,,,,,0.008933333333,0.05827075511
1.9,0.15585,0.05649,,,,,0.009445454545,0.05891739675
2,0.16385,0.0572,,,,,0.00993030303,0.05965790572
2.1,0.1721,0.05979,,,,,0.01043030303,0.062359199
2.2,0.1809,0.06267,,,,,0.01096363636,0.06536295369
2.3,0.18923,0.06341,,,,,0.01146848485,0.06613475177
2.4,0.19726,0.0647,,,,,0.01195515152,0.06748018356
2.5,0.20566,0.06523,,,,,0.01246424242,0.06803295786
2.6,0.21424,0.06851,,,,,0.01298424242,0.07145390071
2.7,0.22243,0.06984,,,,,0.01348060606,0.07284105131
2.8,0.23039,0.07256,,,,,0.0139630303,0.07567793075
2.9,0.23917,0.0749,,,,,0.01449515152,0.07811848144
3,0.24752,0.07471,,,,,0.01500121212,0.07792031706
3.1,0.25562,0.07501,,,,,0.01549212121,0.07823320818
3.2,0.26378,0.07586,,,,,0.01598666667,0.079119733
3.3,0.27256,0.07974,,,,,0.01651878788,0.08316645807
3.4,0.28076,0.08009,,,,,0.01701575758,0.08353149771
3.5,0.28874,0.07924,,,,,0.01749939394,0.08264497288
3.6,0.29738,0.07896,,,,,0.0180230303,0.08235294118
3.7,0.30587,0.08228,,,,,0.01853757576,0.08581560284
3.8,0.31415,0.084,,,,,0.01903939394,0.08760951189
3.9,0.32212,0.08487,,,,,0.01952242424,0.08851689612
4,0.33076,0.0848,,,,,0.02004606061,0.08844388819
4.1,0.33913,0.08694,,,,,0.02055333333,0.09067584481
4.2,0.34722,0.0878,,,,,0.02104363636,0.09157279933
4.3,0.35553,0.08761,,,,,0.02154727273,0.09137463496
4.4,0.36421,0.08975,,,,,0.02207333333,0.09360659157
4.5,0.37252,0.09101,,,,,0.0225769697,0.09492073425
4.6,0.38047,0.09054,,,,,0.02305878788,0.09443053817
4.7,0.38895,0.09002,,,,,0.02357272727,0.09388819358
4.8,0.39751,0.09232,,,,,0.02409151515,0.09628702545
4.9,0.40564,0.09393,,,,,0.02458424242,0.09796620776
5,0.41372,0.09466,,,,,0.02507393939,0.09872757614
5.1,0.42255,0.09458,,,,,0.02560909091,0.09864413851
5.2,0.43089,0.09522,,,,,0.02611454545,0.09931163955
5.3,0.43895,0.09738,,,,,0.0266030303,0.1015644556
5.4,0.44721,0.09811,,,,,0.02710363636,0.1023258239
5.5,0.45593,0.09965,,,,,0.02763212121,0.1039319983
5.6,0.46414,0.10018,,,,,0.02812969697,0.1044847726
5.7,0.47205,0.09855,,,,,0.02860909091,0.1027847309
5.8,0.48074,0.09964,,,,,0.02913575758,0.1039215686
5.9,0.48926,0.10148,,,,,0.02965212121,0.1058406341
6,0.49741,0.10335,,,,,0.03014606061,0.1077909887
6.1,0.50543,0.1022,,,,,0.03063212121,0.1065915728
6.2,0.5142,0.10228,,,,,0.03116363636,0.1066750104
6.3,0.52241,0.10336,,,,,0.03166121212,0.1078014184
6.4,0.53044,0.10505,,,,,0.03214787879,0.1095640384
6.5,0.53892,0.10529,,,,,0.03266181818,0.1098143513
6.6,0.54758,0.10801,,,,,0.03318666667,0.1126512307
6.7,0.55582,0.10702,,,,,0.03368606061,0.11161869
6.8,0.56378,0.10527,,,,,0.03416848485,0.1097934919
6.9,0.57239,0.10817,,,,,0.03469030303,0.112818106
7,0.58081,0.11086,,,,,0.03520060606,0.1156236963
7.1,0.58904,0.11036,,,,,0.03569939394,0.1151022111
7.2,0.59713,0.10851,,,,,0.03618969697,0.1131727159
7.3,0.60586,0.10793,,,,,0.03671878788,0.1125677931
7.4,0.61418,0.11012,,,,,0.0372230303,0.1148518982
7.5,0.62218,0.11129,,,,,0.03770787879,0.1160721736
7.6,0.63053,0.11197,,,,,0.03821393939,0.1167813934
7.7,0.63921,0.11256,,,,,0.03874,0.1173967459
7.8,0.64736,0.113,,,,,0.03923393939,0.1178556529
7.9,0.65542,0.112,,,,,0.03972242424,0.1168126825
8,0.66414,0.11388,,,,,0.04025090909,0.1187734668
8.1,0.67259,0.11578,,,,,0.0407630303,0.1207551106
8.2,0.68079,0.11594,,,,,0.04126,0.1209219858
8.3,0.68874,0.11508,,,,,0.04174181818,0.1200250313
8.4,0.69753,0.11423,,,,,0.04227454545,0.1191385065
8.5,0.70579,0.117,,,,,0.04277515152,0.1220275344
8.6,0.71377,0.11741,,,,,0.04325878788,0.1224551523
8.7,0.72233,0.11561,,,,,0.04377757576,0.1205778056
8.8,0.73092,0.11922,,,,,0.04429818182,0.1243429287
8.9,0.73917,0.11877,,,,,0.04479818182,0.123873592
9,0.74703,0.11883,,,,,0.04527454545,0.1239361702
9.1,0.75581,0.11948,,,,,0.04580666667,0.124614101
