Time,Extension,Load,Length,Width,Thickness,CS Area,Strain,Stress
(s),(mm),(N),(mm),(mm),(mm),(mm^2),(mm/mm),(MPa)
0,0,-0.00526,16.5,2.82,0.3,0.846,0,-0.00621749409
0.1,0.00409,-0.00402,,,,,0.0002478787879,-0.00475177305
0.2,0.01344,0.00155,,,,,0.0008145454545,0.0018321513
0.3,0.02173,0.00589,,,,,0.001316969697,0.006962174941
0.4,0.03021,0.00856,,,,,0.001830909091,0.01011820331
0.5,0.0389,0.01097,,,,,0.002357575758,0.01296690307
0.6,0.04721,0.00989,,,,,0.002861212121,0.01169030733
0.7,0.05517,0.01112,,,,,0.003343636364,0.01314420804
0.8,0.06374,0.01524,,,,,0.003863030303,0.0180141844
0.9,0.07222,0.01856,,,,,0.004376969697,0.02193853428
1,0.08024,0.01898,,,,,0.004863030303,0.02243498818
1.1,0.08844,0.01867,,,,,0.00536,0.02206855792
1.2,0.09728,0.01904,,,,,0.005895757576,0.02250591017
1.3,0.10562,0.02202,,,,,0.006401212121,0.02602836879
1.4,0.11364,0.02474,,,,,0.006887272727,0.02924349882
1.5,0.12195,0.02473,,,,,0.007390909091,0.02923167849
1.6,0.13064,0.02534,,,,,0.007917575758,0.02995271868
1.7,0.13886,0.02634,,,,,0.008415757576,0.03113475177
1.8,0.14676,0.02901,,,,,0.008894545455,0.03429078014
1.9,0.15552,0.03068,,,,,0.009425454545,0.03626477541
2,0.16392,0.03063,,,,,0.009934545455,0.03620567376
2.1,0.17206,0.03377,,,,,0.01042787879,0.03991725768
2.2,0.18013,0.03241,,,,,0.0109169697,0.03830969267
2.3,0.18891,0.0347,,,,,0.01144909091,0.04101654846
2.4,0.19716,0.03716,,,,,0.01194909091,0.04392434988
2.5,0.20513,0.03623,,,,,0.01243212121,0.0428250591
2.6,0.21366,0.03564,,,,,0.01294909091,0.04212765957
2.7,0.22229,0.03888,,,,,0.01347212121,0.04595744681
2.8,0.23057,0.04058,,,,,0.01397393939,0.04796690307
2.9,0.23849,0.04344,,,,,0.01445393939,0.05134751773
3,0.24715,0.04243,,,,,0.01497878788,0.0501536643
3.1,0.25553,0.04165,,,,,0.01548666667,0.04923167849
3.2,0.2637,0.04354,,,,,0.01598181818,0.05146572104
