Time,Extension,Load,Length,Width,Thickness,CS Area,Strain,Stress
(s),(mm),(N),(mm),(mm),(mm),(mm^2),(mm/mm),(MPa)
0,0,-0.03247,16.5,2.82,0.31,0.8742,0,-0.03714253031
0.1,0.00379,-0.02089,,,,,0.0002296969697,-0.02389613361
0.2,0.01346,0.00402,,,,,0.0008157575758,0.004598490048
0.3,0.02193,0.02182,,,,,0.001329090909,0.0249599634
0.4,0.0303,0.03425,,,,,0.001836363636,0.03917867765
0.5,0.03825,0.04147,,,,,0.002318181818,0.04743765729
0.6,0.047,0.05152,,,,,0.002848484848,0.05893388241
0.7,0.05539,0.05988,,,,,0.003356969697,0.06849691146
0.8,0.06353,0.06849,,,,,0.00385030303,0.07834591627
0.9,0.07183,0.07444,,,,,0.004353333333,0.0851521391
1,0.08046,0.08228,,,,,0.004876363636,0.0941203386
1.1,0.08871,0.0872,,,,,0.005376363636,0.09974834134
1.2,0.09661,0.09188,,,,,0.005855151515,0.1051018074
1.3,0.10529,0.09757,,,,,0.006381212121,0.1116106154
1.4,0.11381,0.10486,,,,,0.006897575758,0.1199496683
1.5,0.122,0.10989,,,,,0.007393939394,0.1257035003
1.6,0.13004,0.11179,,,,,0.007881212121,0.127876916
1.7,0.13879,0.11622,,,,,0.008411515152,0.1329444063
1.8,0.14708,0.11927,,,,,0.008913939394,0.1364333105
1.9,0.15506,0.12323,,,,,0.009397575758,0.1409631663
2,0.16346,0.12719,,,,,0.009906666667,0.1454930222
2.1,0.17215,0.13114,,,,,0.01043333333,0.150011439
2.2,0.18036,0.13285,,,,,0.01093090909,0.1519675132
2.3,0.18833,0.13454,,,,,0.01141393939,0.1539007092
2.4,0.19704,0.13709,,,,,0.01194181818,0.1568176619
2.5,0.20541,0.14133,,,,,0.01244909091,0.1616678106
2.6,0.21354,0.14371,,,,,0.01294181818,0.1643902997
2.7,0.22161,0.14417,,,,,0.01343090909,0.1649164951
2.8,0.23048,0.14864,,,,,0.01396848485,0.1700297415
2.9,0.23881,0.1506,,,,,0.01447333333,0.1722717914
3,0.24682,0.15272,,,,,0.01495878788,0.1746968657
3.1,0.25525,0.15432,,,,,0.01546969697,0.1765271105
3.2,0.26365,0.15745,,,,,0.01597878788,0.1801075269
3.3,0.27201,0.15883,,,,,0.01648545455,0.181686113
3.4,0.27993,0.15851,,,,,0.01696545455,0.1813200641
3.5,0.28863,0.16065,,,,,0.01749272727,0.1837680165
3.6,0.29708,0.16383,,,,,0.01800484848,0.187405628
3.7,0.30527,0.16498,,,,,0.01850121212,0.1887211164
3.8,0.31339,0.16594,,,,,0.01899333333,0.1898192633
3.9,0.32211,0.16827,,,,,0.01952181818,0.1924845573
4,0.33041,0.16906,,,,,0.02002484848,0.1933882407
4.1,0.33832,0.16962,,,,,0.02050424242,0.1940288264
4.2,0.34683,0.1703,,,,,0.02102,0.1948066804
4.3,0.35545,0.17504,,,,,0.02154242424,0.2002287806
4.4,0.36377,0.17502,,,,,0.02204666667,0.2002059025
4.5,0.37172,0.17398,,,,,0.02252848485,0.1990162434
4.6,0.38043,0.1767,,,,,0.02305636364,0.2021276596
4.7,0.38879,0.17863,,,,,0.0235630303,0.2043353924
4.8,0.39683,0.18013,,,,,0.02405030303,0.2060512469
4.9,0.40502,0.17868,,,,,0.02454666667,0.2043925875
5,0.41382,0.18013,,,,,0.02508,0.2060512469
5.1,0.42209,0.18155,,,,,0.02558121212,0.2076755891
5.2,0.43004,0.18166,,,,,0.0260630303,0.2078014184
5.3,0.43856,0.18328,,,,,0.02657939394,0.2096545413
5.4,0.44706,0.18554,,,,,0.02709454545,0.2122397621
5.5,0.4553,0.18462,,,,,0.02759393939,0.2111873713
5.6,0.46328,0.18426,,,,,0.02807757576,0.2107755662
5.7,0.47212,0.18669,,,,,0.02861333333,0.2135552505
5.8,0.48045,0.19019,,,,,0.02911818182,0.217558911
5.9,0.48858,0.18864,,,,,0.02961090909,0.2157858614
6,0.49682,0.18747,,,,,0.03011030303,0.2144474949
6.1,0.50536,0.18912,,,,,0.03062787879,0.2163349348
6.2,0.51368,0.19094,,,,,0.03113212121,0.2184168383
6.3,0.52164,0.19032,,,,,0.03161454545,0.2177076184
6.4,0.53026,0.19192,,,,,0.0321369697,0.2195378632
6.5,0.53873,0.19303,,,,,0.03265030303,0.2208075955
6.6,0.54704,0.19316,,,,,0.03315393939,0.2209563029
6.7,0.55501,0.19292,,,,,0.0336369697,0.2206817662
6.8,0.56372,0.19421,,,,,0.03416484848,0.2221574011
6.9,0.57207,0.19612,,,,,0.03467090909,0.2243422558
7,0.58002,0.19571,,,,,0.03515272727,0.2238732555
7.1,0.5884,0.19462,,,,,0.03566060606,0.2226264013
7.2,0.59717,0.19832,,,,,0.03619212121,0.2268588424
7.3,0.60546,0.2003,,,,,0.03669454545,0.2291237703
7.4,0.61341,0.1997,,,,,0.03717636364,0.2284374285
7.5,0.62197,0.19789,,,,,0.03769515152,0.2263669641
7.6,0.63049,0.19957,,,,,0.03821151515,0.2282887211
7.7,0.63863,0.19984,,,,,0.03870484848,0.2285975749
7.8,0.64665,0.19956,,,,,0.03919090909,0.2282772821
7.9,0.65544,0.19953,,,,,0.03972363636,0.228242965
8,0.66373,0.20169,,,,,0.04022606061,0.2307137955
8.1,0.67178,0.20167,,,,,0.04071393939,0.2306909174
8.2,0.68016,0.20128,,,,,0.04122181818,0.2302447952
8.3,0.68881,0.20527,,,,,0.04174606061,0.2348089682
8.4,0.697,0.20576,,,,,0.04224242424,0.2353694807
8.5,0.70493,0.20382,,,,,0.0427230303,0.2331503089
8.6,0.71369,0.20275,,,,,0.04325393939,0.2319263326
8.7,0.72214,0.20388,,,,,0.04376606061,0.233218943
8.8,0.73033,0.20506,,,,,0.04426242424,0.2345687486
8.9,0.73839,0.20602,,,,,0.04475090909,0.2356668954
9,0.74702,0.20623,,,,,0.04527393939,0.2359071151
9.1,0.75535,0.20602,,,,,0.04577878788,0.2356668954
9.2,0.76342,0.20564,,,,,0.04626787879,0.2352322123
9.3,0.77186,0.20572,,,,,0.04677939394,0.2353237245
9.4,0.78049,0.20914,,,,,0.04730242424,0.2392358728
9.5,0.78876,0.20844,,,,,0.04780363636,0.2384351407
9.6,0.79666,0.20797,,,,,0.04828242424,0.2378975063
9.7,0.80526,0.20619,,,,,0.04880363636,0.235861359
9.8,0.81376,0.20894,,,,,0.04931878788,0.2390070922
9.9,0.82181,0.20959,,,,,0.04980666667,0.2397506291
10,0.82999,0.20875,,,,,0.05030242424,0.2387897506
10.1,0.83881,0.2102,,,,,0.0508369697,0.24044841
10.2,0.8471,0.20955,,,,,0.05133939394,0.239704873
10.3,0.85515,0.20981,,,,,0.05182727273,0.2400022878
10.4,0.86354,0.20966,,,,,0.05233575758,0.2398307024
10.5,0.87214,0.21295,,,,,0.0528569697,0.2435941432
10.6,0.88036,0.21213,,,,,0.05335515152,0.2426561428
10.7,0.88828,0.20983,,,,,0.05383515152,0.2400251659
10.8,0.89708,0.21061,,,,,0.05436848485,0.2409174102
10.9,0.90548,0.21423,,,,,0.05487757576,0.2450583391
11,0.91359,0.21488,,,,,0.05536909091,0.245801876
11.1,0.92172,0.21185,,,,,0.05586181818,0.2423358499
11.2,0.93044,0.21274,,,,,0.05639030303,0.2433539236
11.3,0.93867,0.21272,,,,,0.05688909091,0.2433310455
11.4,0.94666,0.21306,,,,,0.05737333333,0.2437199725
11.5,0.95526,0.21451,,,,,0.05789454545,0.2453786319
11.6,0.96379,0.21619,,,,,0.05841151515,0.2473003889
11.7,0.97204,0.21386,,,,,0.05891151515,0.2446350949
11.8,0.97997,0.21269,,,,,0.05939212121,0.2432967284
11.9,0.98869,0.21464,,,,,0.05992060606,0.2455273393
12,0.99704,0.21614,,,,,0.06042666667,0.2472431938
12.1,1.00519,0.21566,,,,,0.06092060606,0.2466941203
12.2,1.01343,0.21407,,,,,0.06142,0.2448753146
12.3,1.02212,0.21534,,,,,0.06194666667,0.2463280714
12.4,1.03043,0.21671,,,,,0.06245030303,0.2478952185
12.5,1.03839,0.21688,,,,,0.06293272727,0.248089682
12.6,1.04688,0.21756,,,,,0.06344727273,0.248867536
12.7,1.05545,0.21711,,,,,0.06396666667,0.2483527797
12.8,1.06354,0.2157,,,,,0.0644569697,0.2467398765
12.9,1.07159,0.21551,,,,,0.06494484848,0.2465225349
13,1.08046,0.2185,,,,,0.06548242424,0.2499428049
13.1,1.08883,0.21968,,,,,0.06598969697,0.2512926104
13.2,1.09692,0.2181,,,,,0.06648,0.2494852437
13.3,1.1051,0.21542,,,,,0.06697575758,0.2464195836
13.4,1.11375,0.21873,,,,,0.0675,0.2502059025
13.5,1.12203,0.22018,,,,,0.06800181818,0.2518645619
13.6,1.13,0.21904,,,,,0.06848484848,0.2505605125
13.7,1.13867,0.21778,,,,,0.06901030303,0.2491191947
13.8,1.14716,0.21893,,,,,0.06952484848,0.2504346831
13.9,1.15531,0.21901,,,,,0.07001878788,0.2505261954
14,1.1633,0.2193,,,,,0.0705030303,0.2508579272
14.1,1.17214,0.22144,,,,,0.07103878788,0.2533058797
14.2,1.18038,0.22078,,,,,0.07153818182,0.2525509037
14.3,1.18842,0.21976,,,,,0.07202545455,0.2513841226
14.4,1.19679,0.21901,,,,,0.07253272727,0.2505261954
14.5,1.20544,0.2214,,,,,0.0730569697,0.2532601235
14.6,1.21373,0.22047,,,,,0.07355939394,0.2521962938
14.7,1.22169,0.22117,,,,,0.07404181818,0.2529970259
14.8,1.2303,0.21983,,,,,0.07456363636,0.2514641958
14.9,1.23872,0.22082,,,,,0.07507393939,0.2525966598
15,1.24692,0.22204,,,,,0.07557090909,0.2539922215
15.1,1.25505,0.22187,,,,,0.07606363636,0.253797758
15.2,1.26379,0.22248,,,,,0.07659333333,0.2544955388
15.3,1.2721,0.22309,,,,,0.0770969697,0.2551933196
15.4,1.28011,0.22113,,,,,0.07758242424,0.2529512697
15.5,1.28841,0.21995,,,,,0.07808545455,0.2516014642
15.6,1.29711,0.2243,,,,,0.07861272727,0.2565774422
15.7,1.30529,0.2229,,,,,0.07910848485,0.254975978
15.8,1.31329,0.2228,,,,,0.07959333333,0.2548615877
15.9,1.32209,0.22262,,,,,0.08012666667,0.2546556852
16,1.33049,0.22323,,,,,0.08063575758,0.255353466
16.1,1.33865,0.22573,,,,,0.08113030303,0.2582132235
16.2,1.34667,0.22417,,,,,0.08161636364,0.2564287348
16.3,1.35546,0.22567,,,,,0.08214909091,0.2581445893
16.4,1.36373,0.22396,,,,,0.08265030303,0.2561885152
16.5,1.37174,0.22343,,,,,0.08313575758,0.2555822466
16.6,1.38021,0.22286,,,,,0.08364909091,0.2549302219
16.7,1.38882,0.22649,,,,,0.08417090909,0.2590825898
16.8,1.39704,0.22576,,,,,0.08466909091,0.2582475406
16.9,1.40497,0.22386,,,,,0.08514969697,0.2560741249
17,1.41372,0.22503,,,,,0.08568,0.2574124914
