Time,Extension,Load,Length,Width,Thickness,CS Area,Strain,Stress
(s),(mm),(N),(mm),(mm),(mm),(mm^2),(mm/mm),(MPa)
0,0,-0.02478,16.5,2.82,0.32,0.9024,0,-0.02746010638
0.1,0.00439,-0.01332,,,,,0.0002660606061,-0.0147606383
0.2,0.01413,0.00531,,,,,0.0008563636364,0.005884308511
0.3,0.02244,0.01694,,,,,0.00136,0.01877216312
0.4,0.03062,0.02654,,,,,0.001855757576,0.02941046099
0.5,0.0394,0.03388,,,,,0.002387878788,0.03754432624
0.6,0.04766,0.04104,,,,,0.002888484848,0.0454787234
0.7,0.05579,0.04548,,,,,0.003381212121,0.05039893617
0.8,0.06414,0.05096,,,,,0.003887272727,0.05647163121
0.9,0.0728,0.05911,,,,,0.004412121212,0.06550310284
1,0.08105,0.06513,,,,,0.004912121212,0.07217420213
1.1,0.08903,0.07002,,,,,0.005395757576,0.07759308511
1.2,0.09757,0.07047,,,,,0.005913333333,0.07809175532
1.3,0.10596,0.0757,,,,,0.006421818182,0.08388741135
1.4,0.11427,0.07908,,,,,0.006925454545,0.08763297872
1.5,0.12232,0.08222,,,,,0.007413333333,0.09111258865
1.6,0.13111,0.08874,,,,,0.007946060606,0.09833776596
1.7,0.13942,0.09114,,,,,0.00844969697,0.1009973404
1.8,0.14739,0.09126,,,,,0.008932727273,0.1011303191
1.9,0.15582,0.0941,,,,,0.009443636364,0.1042774823
2,0.16443,0.09905,,,,,0.009965454545,0.1097628546
2.1,0.17273,0.10318,,,,,0.01046848485,0.114339539
2.2,0.18067,0.10303,,,,,0.01094969697,0.1141733156
2.3,0.1893,0.10495,,,,,0.01147272727,0.1163009752
2.4,0.19773,0.10898,,,,,0.01198363636,0.120766844
2.5,0.20587,0.11103,,,,,0.0124769697,0.1230385638
2.6,0.21393,0.11305,,,,,0.01296545455,0.125277039
2.7,0.22273,0.11547,,,,,0.01349878788,0.1279587766
2.8,0.23105,0.11629,,,,,0.0140030303,0.1288674645
2.9,0.23907,0.11798,,,,,0.01448909091,0.1307402482
3,0.24756,0.12101,,,,,0.01500363636,0.134097961
3.1,0.25618,0.12492,,,,,0.01552606061,0.1384308511
3.2,0.26433,0.12556,,,,,0.01602,0.1391400709
3.3,0.27225,0.12434,,,,,0.0165,0.1377881206
3.4,0.28099,0.12529,,,,,0.01702969697,0.1388408688
3.5,0.28934,0.12889,,,,,0.01753575758,0.1428302305
3.6,0.29759,0.13198,,,,,0.01803575758,0.1462544326
3.7,0.30573,0.13325,,,,,0.01852909091,0.1476617908
3.8,0.31445,0.13428,,,,,0.01905757576,0.1488031915
3.9,0.3227,0.13466,,,,,0.01955757576,0.1492242908
4,0.33072,0.13565,,,,,0.02004363636,0.1503213652
4.1,0.33917,0.13748,,,,,0.02055575758,0.1523492908
4.2,0.34766,0.14095,,,,,0.02107030303,0.1561945922
4.3,0.35601,0.13972,,,,,0.02157636364,0.1548315603
4.4,0.36396,0.1409,,,,,0.02205818182,0.1561391844
4.5,0.37272,0.14295,,,,,0.02258909091,0.1584109043
4.6,0.3811,0.14581,,,,,0.0230969697,0.1615802305
4.7,0.3892,0.14609,,,,,0.02358787879,0.1618905142
4.8,0.39736,0.14557,,,,,0.02408242424,0.161314273
4.9,0.40608,0.14759,,,,,0.02461090909,0.1635527482
5,0.41438,0.1495,,,,,0.02511393939,0.1656693262
5.1,0.42238,0.1516,,,,,0.02559878788,0.1679964539
5.2,0.43092,0.15079,,,,,0.02611636364,0.1670988475
5.3,0.43945,0.15365,,,,,0.02663333333,0.1702681738
5.4,0.44764,0.15235,,,,,0.02712969697,0.1688275709
5.5,0.45555,0.1518,,,,,0.02760909091,0.1682180851
5.6,0.46431,0.15512,,,,,0.02814,0.1718971631
5.7,0.47272,0.15709,,,,,0.02864969697,0.1740802305
5.8,0.48089,0.15602,,,,,0.02914484848,0.1728945035
5.9,0.48913,0.15659,,,,,0.02964424242,0.1735261525
6,0.49785,0.15759,,,,,0.03017272727,0.1746343085
6.1,0.50595,0.15768,,,,,0.03066363636,0.1747340426
6.2,0.51392,0.15995,,,,,0.03114666667,0.1772495567
6.3,0.52259,0.16063,,,,,0.03167212121,0.1780031028
6.4,0.53106,0.1636,,,,,0.03218545455,0.1812943262
6.5,0.53935,0.16344,,,,,0.03268787879,0.1811170213
