Time,Extension,Load,Length,Width,Thickness,CS Area,Strain,Stress
(s),(mm),(N),(mm),(mm),(mm),(mm^2),(mm/mm),(MPa)
0,0.35468,0.09041,16.5,3.24,0.45,1.458,0,0.06200960219
,0.53724,0.22331,,,,,0.01106424242,0.1531618656
,0.84005,0.25877,,,,,0.02941636364,0.1774828532
,1.14014,0.30776,,,,,0.04760363636,0.2110836763
,1.44026,0.35326,,,,,0.06579272727,0.2422908093
,1.74035,0.38221,,,,,0.08398,0.2621467764
,2.0403,0.44181,,,,,0.1021587879,0.3030246914
,2.34028,0.48632,,,,,0.1203393939,0.3335528121
,2.64027,0.50445,,,,,0.1385206061,0.3459876543
,2.94032,0.53595,,,,,0.1567054545,0.3675925926
,3.24025,0.5677,,,,,0.1748830303,0.3893689986
,3.54029,0.5828,,,,,0.1930672727,0.3997256516
,3.84028,0.6034,,,,,0.2112484848,0.4138545953
,4.14029,0.64627,,,,,0.2294309091,0.4432578875
,4.44028,0.64485,,,,,0.2476121212,0.4422839506
,4.74035,0.67175,,,,,0.2657981818,0.460733882
,5.04026,0.69864,,,,,0.2839745455,0.4791769547
,5.34031,0.74,,,,,0.3021593939,0.5075445816
,5.64028,0.74576,,,,,0.3203393939,0.5114951989
,5.9403,0.77365,,,,,0.3385224242,0.5306241427
,6.2403,0.77454,,,,,0.3567042424,0.5312345679
,6.54025,0.78329,,,,,0.3748830303,0.5372359396
,6.84028,0.80001,,,,,0.3930666667,0.5487037037
,7.14031,0.79844,,,,,0.411250303,0.5476268861
,7.44028,0.81783,,,,,0.429430303,0.5609259259
,7.74026,0.8359,,,,,0.4476109091,0.5733196159
,8.04031,0.84148,,,,,0.4657957576,0.5771467764
,8.34033,0.8624,,,,,0.4839787879,0.5914951989
,8.64024,0.8709,,,,,0.5021551515,0.5973251029
,8.94024,0.88584,,,,,0.5203369697,0.6075720165
,9.24034,0.89155,,,,,0.5385248485,0.6114883402
,9.54033,0.91228,,,,,0.5567060606,0.6257064472
,9.84029,0.91066,,,,,0.5748854545,0.6245953361
,10.14025,0.92745,,,,,0.5930648485,0.6361111111
,10.44025,0.941,,,,,0.6112466667,0.6454046639
,10.74031,0.95697,,,,,0.6294321212,0.6563580247
,11.04028,0.95864,,,,,0.6476121212,0.6575034294
,11.34031,0.96555,,,,,0.6657957576,0.6622427984
,11.64022,0.97123,,,,,0.6839721212,0.666138546
,11.94035,0.97542,,,,,0.7021618182,0.6690123457
,12.24028,0.98298,,,,,0.7203393939,0.6741975309
,12.54027,0.99613,,,,,0.7385206061,0.6832167353
,12.84034,1.01021,,,,,0.7567066667,0.6928737997
,13.14032,1.02543,,,,,0.7748872727,0.7033127572
,13.44022,1.02339,,,,,0.7930630303,0.7019135802
,13.74026,1.03456,,,,,0.8112472727,0.7095747599
,14.04026,1.02715,,,,,0.8294290909,0.7044924554
,14.34034,1.03524,,,,,0.8476157576,0.7100411523
,14.64034,1.05071,,,,,0.8657975758,0.7206515775
,14.94021,1.05828,,,,,0.8839715152,0.7258436214
,15.24026,1.0534,,,,,0.9021563636,0.7224965706
,15.54034,1.06779,,,,,0.9203430303,0.7323662551
,15.84028,1.05932,,,,,0.9385212121,0.7265569273
,16.14023,1.06846,,,,,0.9567,0.7328257888
,16.44027,1.1177,,,,,0.9748842424,0.7665980796
,16.7403,1.10647,,,,,0.9930678788,0.7588957476
,17.04029,1.114,,,,,1.011249091,0.7640603567
,17.34026,1.12546,,,,,1.029429091,0.771920439
,17.64031,1.13685,,,,,1.047613939,0.7797325103
,17.94035,1.16813,,,,,1.065798182,0.8011865569
,18.24031,1.18687,,,,,1.083977576,0.8140397805
,18.5402,1.16432,,,,,1.102152727,0.7985733882
,18.84027,1.18635,,,,,1.120338788,0.8136831276
,19.14034,1.1883,,,,,1.138524848,0.8150205761
,19.4403,1.1801,,,,,1.156704242,0.8093964335
,19.74026,1.21816,,,,,1.174883636,0.8355006859
,20.04026,1.23734,,,,,1.193065455,0.8486556927
,20.34028,1.2289,,,,,1.211248485,0.842866941
,20.6403,1.23269,,,,,1.229431515,0.8454663923
,20.94029,1.24003,,,,,1.247612727,0.8505006859
,21.24021,1.24144,,,,,1.265789697,0.8514677641
,21.54033,1.25912,,,,,1.283978788,0.8635939643
,21.84035,1.29062,,,,,1.302161818,0.8851989026
,22.14023,1.29605,,,,,1.320336364,0.8889231824
