Time,Extension,Load,Length,Width,Thickness,CS Area,Strain,Stress
(s),(mm),(N),(mm),(mm),(mm),(mm^2),(mm/mm),(MPa)
0,1.00881,0.00603,16.5,2.87,0.41,1.1767,0,0.005124500722
0.1,1.23071,0.02038,,,,,0.01344848485,0.01731962267
0.2,1.53597,0.02597,,,,,0.03194909091,0.02207019631
0.3,1.83593,0.02423,,,,,0.05012848485,0.02059148466
0.4,2.13601,0.01974,,,,,0.06831515152,0.01677572873
0.5,2.4361,0.03723,,,,,0.08650242424,0.03163933033
0.6,2.73599,0.04108,,,,,0.1046775758,0.03491119232
0.7,3.03606,0.03893,,,,,0.1228636364,0.03308404861
0.8,3.33614,0.0446,,,,,0.141050303,0.03790260899
0.9,3.63608,0.04426,,,,,0.1592284848,0.03761366534
1,3.93602,0.03118,,,,,0.1774066667,0.02649783292
1.1,4.23602,0.05452,,,,,0.1955884848,0.04633296507
1.2,4.53611,0.07516,,,,,0.2137757576,0.06387354466
1.3,4.83612,0.08741,,,,,0.2319581818,0.07428401462
1.4,5.13603,0.09382,,,,,0.2501345455,0.07973145237
1.5,5.43602,0.10154,,,,,0.2683157576,0.08629217303
1.6,5.73604,0.05981,,,,,0.2864987879,0.05082858843
1.7,6.0361,0.07437,,,,,0.3046842424,0.06320217558
1.8,6.33604,0.07737,,,,,0.3228624242,0.06575167842
1.9,6.63602,0.08352,,,,,0.3410430303,0.07097815926
2,6.93604,0.09411,,,,,0.3592260606,0.07997790431
2.1,7.23612,0.09105,,,,,0.3774127273,0.0773774114
2.2,7.536,0.11083,,,,,0.3955872727,0.09418713351
2.3,7.836,0.1268,,,,,0.4137690909,0.107758987
2.4,8.13612,0.11651,,,,,0.4319581818,0.09901419223
2.5,8.43614,0.11745,,,,,0.4501412121,0.09981303646
2.6,8.73602,0.10141,,,,,0.4683157576,0.08618169457
2.7,9.03603,0.11933,,,,,0.4864981818,0.1014107249
2.8,9.33609,0.11138,,,,,0.5046836364,0.09465454236
2.9,9.63612,0.12541,,,,,0.5228672727,0.1065777173
3,9.93606,0.13491,,,,,0.5410454545,0.114651143
3.1,10.236,0.13021,,,,,0.5592236364,0.1106569219
3.2,10.536,0.15029,,,,,0.5774054545,0.1277215943
3.3,10.83613,0.15939,,,,,0.5955951515,0.1354550863
3.4,11.13602,0.17775,,,,,0.613770303,0.1510580437
3.5,11.436,0.18578,,,,,0.6319509091,0.157882213
3.6,11.73608,0.17431,,,,,0.6501375758,0.1481346138
3.7,12.03608,0.15681,,,,,0.6683193939,0.1332625138
3.8,12.33605,0.15838,,,,,0.6864993939,0.1345967536
3.9,12.636,0.15202,,,,,0.7046781818,0.1291918076
4,12.93608,0.17173,,,,,0.7228648485,0.1459420413
4.1,13.23612,0.17394,,,,,0.7410490909,0.1478201751
4.2,13.53606,0.18812,,,,,0.7592272727,0.1598708252
4.3,13.836,0.1958,,,,,0.7774054545,0.1663975525
4.4,14.13606,0.20447,,,,,0.7955909091,0.1737656157
4.5,14.43611,0.19458,,,,,0.8137757576,0.1653607547
4.6,14.73608,0.17965,,,,,0.8319557576,0.1526727288
4.7,15.03598,0.18687,,,,,0.8501315152,0.1588085323
4.8,15.336,0.19841,,,,,0.8683145455,0.16861562
4.9,15.63608,0.21304,,,,,0.8865012121,0.1810486955
5,15.93604,0.23645,,,,,0.9046806061,0.2009433161
5.1,16.236,0.22484,,,,,0.92286,0.19107674
5.2,16.53603,0.2256,,,,,0.9410436364,0.1917226141
5.3,16.83614,0.24051,,,,,0.9592321212,0.2043936432
5.4,17.13601,0.25009,,,,,0.9774060606,0.2125350557
5.5,17.43605,0.26587,,,,,0.995590303,0.2259454406
5.6,17.73606,0.26284,,,,,1.013772727,0.2233704428
5.7,18.0361,0.25177,,,,,1.03195697,0.2139627773
5.8,18.33608,0.25468,,,,,1.050137576,0.216435795
