Time,Extension,Load,Length,Width,Thickness,CS Area,Strain,Stress
(s),(mm),(N),(mm),(mm),(mm),(mm^2),(mm/mm),(MPa)
0,0.00901,0.0829,16.5,2.82,0.25,0.705,0,0.1175886525
0.1,0.23248,2.48731,,,,,0.01354363636,3.528099291
0.2,0.53684,4.15822,,,,,0.03198969697,5.898184397
0.281,0.77971,6.6875,,,,,0.04670909091,9.485815603
0.381,1.07979,8.84836,,,,,0.06489575758,12.55086525
0.481,1.37993,10.3734,,,,,0.08308606061,14.71404255
0.581,1.67991,11.38203,,,,,0.1012666667,16.1447234
0.681,1.97995,11.97131,,,,,0.1194509091,16.98058156
0.781,2.27988,12.36979,,,,,0.1376284848,17.54580142
0.881,2.57986,12.59644,,,,,0.1558090909,17.86729078
0.981,2.87986,12.7044,,,,,0.1739909091,18.02042553
1.081,3.17988,12.77357,,,,,0.1921739394,18.11853901
1.181,3.47983,12.8206,,,,,0.2103527273,18.18524823
1.281,3.77991,12.8498,,,,,0.2285393939,18.22666667
1.381,4.07989,12.91084,,,,,0.24672,18.31324823
1.481,4.37992,12.97667,,,,,0.2649036364,18.40662411
1.581,4.67985,13.03718,,,,,0.2830812121,18.4924539
1.681,4.97986,13.09985,,,,,0.3012636364,18.58134752
1.781,5.27997,13.17998,,,,,0.3194521212,18.69500709
1.881,5.5799,13.24282,,,,,0.337629697,18.78414184
1.981,5.87983,13.34468,,,,,0.3558072727,18.92862411
2.081,6.17988,13.41229,,,,,0.3739921212,19.02452482
2.181,6.4799,13.48714,,,,,0.3921751515,19.13069504
2.281,6.77993,13.59276,,,,,0.4103587879,19.28051064
2.381,7.07987,13.667,,,,,0.4285369697,19.3858156
2.481,7.37981,13.78277,,,,,0.4467151515,19.55002837
2.581,7.67988,13.84512,,,,,0.4649012121,19.63846809
2.681,7.97989,13.97531,,,,,0.4830836364,19.82313475
2.781,8.27985,14.05705,,,,,0.5012630303,19.93907801
2.881,8.57987,14.1497,,,,,0.5194460606,20.07049645
2.981,8.87994,14.27199,,,,,0.5376321212,20.24395745
3.081,9.17991,14.3701,,,,,0.5558121212,20.38312057
3.181,9.47983,14.43824,,,,,0.5739890909,20.47977305
3.197,9.5278,9.95896,,,,,0.5768963636,14.1261844
3.198,9.5308,4.73686,,,,,0.5770781818,6.718950355
3.199,9.5338,1.38552,,,,,0.57726,1.965276596
3.299,9.83394,0.00682,,,,,0.595450303,0.009673758865
3.399,10.13392,0.02906,,,,,0.6136309091,0.04121985816
3.499,10.43397,0.01552,,,,,0.6318157576,0.0220141844
3.599,10.73385,0.01493,,,,,0.649990303,0.02117730496
3.62,10.79688,0.0009,,,,,0.653810303,0.001276595745
