Time,Extension,Load,Length,Width,Thickness,CS Area,Strain,Stress
(s),(mm),(N),(mm),(mm),(mm),(mm^2),(mm/mm),(MPa)
0,0.39864,0.06314,16.5,2.82,0.4,1.128,0,0.0559751773
0.1,0.62133,0.4718,,,,,0.01349636364,0.4182624113
0.2,0.9263,0.748,,,,,0.03197939394,0.6631205674
0.3,1.22625,0.93679,,,,,0.05015818182,0.8304875887
0.4,1.52637,1.0974,,,,,0.06834727273,0.9728723404
0.5,1.82634,1.231,,,,,0.08652727273,1.091312057
0.6,2.12644,1.33385,,,,,0.1047151515,1.182491135
0.7,2.42636,1.40677,,,,,0.1228921212,1.247136525
0.8,2.72642,1.49986,,,,,0.1410775758,1.329663121
0.9,3.02632,1.53922,,,,,0.1592533333,1.364556738
1,3.32641,1.61229,,,,,0.1774406061,1.429335106
1.1,3.62643,1.65356,,,,,0.1956236364,1.465921986
1.2,3.92637,1.70423,,,,,0.2138018182,1.510842199
1.3,4.2263,1.75815,,,,,0.2319793939,1.558643617
1.4,4.52637,1.80696,,,,,0.2501654545,1.601914894
1.5,4.8264,1.84789,,,,,0.2683490909,1.638200355
1.6,5.12639,1.90801,,,,,0.286530303,1.691498227
1.7,5.42638,1.96065,,,,,0.3047115152,1.738164894
1.8,5.72638,1.9928,,,,,0.3228933333,1.766666667
1.9,6.0264,2.02269,,,,,0.3410763636,1.793164894
2,6.32634,2.07665,,,,,0.3592545455,1.841001773
2.1,6.62632,2.10768,,,,,0.3774351515,1.868510638
2.2,6.92639,2.15403,,,,,0.3956212121,1.909601064
2.3,7.22648,2.21149,,,,,0.4138084848,1.96054078
2.4,7.52636,2.25625,,,,,0.4319830303,2.000221631
2.5,7.82632,2.25449,,,,,0.4501624242,1.998661348
2.6,8.12637,2.30072,,,,,0.4683472727,2.03964539
2.7,8.42645,2.35424,,,,,0.4865339394,2.087092199
2.8,8.72638,2.34365,,,,,0.5047115152,2.077703901
2.9,9.02632,2.35431,,,,,0.522889697,2.087154255
3,9.32632,2.39648,,,,,0.5410715152,2.124539007
3.1,9.62637,2.44779,,,,,0.5592563636,2.170026596
3.2,9.92644,2.45129,,,,,0.5774424242,2.173129433
3.3,10.22636,2.53581,,,,,0.5956193939,2.248058511
3.4,10.52647,2.62728,,,,,0.6138078788,2.329148936
3.5,10.82634,2.64951,,,,,0.6319818182,2.348856383
3.6,11.12638,2.68339,,,,,0.6501660606,2.378891844
3.7,11.42632,2.74161,,,,,0.6683442424,2.430505319
3.8,11.72637,2.78495,,,,,0.6865290909,2.468927305
3.9,12.02642,2.84321,,,,,0.7047139394,2.520576241
4,12.3264,2.88771,,,,,0.7228945455,2.560026596
4.1,12.62634,2.9376,,,,,0.7410727273,2.604255319
4.2,12.92634,2.96812,,,,,0.7592545455,2.631312057
4.3,13.22645,3.02102,,,,,0.7774430303,2.67820922
4.4,13.52643,3.06481,,,,,0.7956236364,2.717030142
4.5,13.82634,3.10673,,,,,0.8138,2.754193262
4.6,14.1263,3.14759,,,,,0.8319793939,2.790416667
4.7,14.42637,3.20319,,,,,0.8501654545,2.839707447
4.8,14.72642,3.24857,,,,,0.868350303,2.879937943
4.9,15.0264,3.26881,,,,,0.8865309091,2.897881206
5,15.32638,3.32945,,,,,0.9047115152,2.951640071
5.1,15.6264,3.37739,,,,,0.9228945455,2.994140071
5.2,15.92638,3.39559,,,,,0.9410751515,3.010274823
5.3,16.22635,3.45116,,,,,0.9592551515,3.059539007
5.4,16.52636,3.49321,,,,,0.9774375758,3.096817376
5.5,16.82643,3.55291,,,,,0.9956236364,3.149742908
5.6,17.12637,3.57792,,,,,1.013801818,3.171914894
5.7,17.42637,3.65178,,,,,1.031983636,3.237393617
5.8,17.72633,3.69316,,,,,1.05016303,3.274078014
5.9,18.02641,3.74088,,,,,1.068349697,3.316382979
6,18.32645,3.77123,,,,,1.086533939,3.343289007
6.1,18.62634,3.80892,,,,,1.104709091,3.376702128
6.2,18.92634,3.85946,,,,,1.122890909,3.421507092
6.3,19.22634,3.90905,,,,,1.141072727,3.465469858
6.4,19.52639,3.9622,,,,,1.159257576,3.512588652
6.5,19.82636,4.01085,,,,,1.177437576,3.555718085
6.6,20.1264,4.05932,,,,,1.195621818,3.598687943
6.7,20.42638,4.10041,,,,,1.213802424,3.635115248
6.8,20.72637,4.14084,,,,,1.231983636,3.670957447
6.9,21.02639,4.20783,,,,,1.250166667,3.730345745
7,21.32639,4.26569,,,,,1.268348485,3.781640071
7.1,21.62638,4.29167,,,,,1.286529697,3.804671986
7.2,21.9264,4.34511,,,,,1.304712727,3.852047872
7.3,22.22635,4.41462,,,,,1.322891515,3.913670213
7.4,22.5263,4.4412,,,,,1.341070303,3.937234043
7.5,22.82635,4.50683,,,,,1.359255152,3.995416667
7.6,23.12644,4.54479,,,,,1.377442424,4.029069149
7.7,23.4264,4.59022,,,,,1.395621818,4.069343972
7.8,23.72632,4.6467,,,,,1.413798788,4.119414894
7.9,24.02632,4.68465,,,,,1.431980606,4.153058511
8,24.32638,4.74474,,,,,1.450166061,4.206329787
8.1,24.62643,4.80012,,,,,1.468350909,4.255425532
8.2,24.92638,4.84869,,,,,1.486529697,4.298484043
8.3,25.22638,4.89912,,,,,1.504711515,4.343191489
8.4,25.52641,4.95443,,,,,1.522895152,4.392225177
8.5,25.82641,5.01343,,,,,1.54107697,4.444530142
8.6,26.12637,5.07122,,,,,1.559256364,4.495762411
8.7,26.42636,5.11608,,,,,1.577437576,4.535531915
8.8,26.72641,5.15072,,,,,1.595622424,4.566241135
8.9,27.02636,5.22159,,,,,1.613801212,4.629069149
9,27.32635,5.25456,,,,,1.631982424,4.658297872
9.1,27.62636,5.33177,,,,,1.650164848,4.726746454
9.2,27.92634,5.37588,,,,,1.668345455,4.765851064
9.3,28.22642,5.42482,,,,,1.686532121,4.809237589
9.4,28.52638,5.46554,,,,,1.704711515,4.845336879
9.5,28.8263,5.50242,,,,,1.722888485,4.878031915
9.6,29.12637,5.58153,,,,,1.741074545,4.948164894
9.7,29.42644,5.6407,,,,,1.759260606,5.000620567
9.8,29.72639,5.70101,,,,,1.777439394,5.054086879
9.9,30.02637,5.74617,,,,,1.79562,5.09412234
10,30.32637,5.83311,,,,,1.813801818,5.171196809
10.1,30.62637,5.85046,,,,,1.831983636,5.186578014
10.2,30.9264,5.9047,,,,,1.850167273,5.234663121
10.3,31.22635,5.96501,,,,,1.868346061,5.288129433
10.4,31.52635,6.03071,,,,,1.886527879,5.346374113
10.5,31.82637,6.07839,,,,,1.904710909,5.388643617
10.6,32.12638,6.11013,,,,,1.922893333,5.416781915
