Time,Extension,Load,Length,Width,Thickness,CS Area,Strain,Stress
(s),(mm),(N),(mm),(mm),(mm),(mm^2),(mm/mm),(MPa)
0,0.12605,0.05619,16.5,2.82,0.27,0.7614,0,0.07379826635
0.1,0.34926,2.3783,,,,,0.01352787879,3.123588127
0.2,0.65388,3.46014,,,,,0.03198969697,4.544444444
0.3,0.95377,4.64777,,,,,0.05016484848,6.104242185
0.4,1.25381,5.40758,,,,,0.06834909091,7.102153927
0.5,1.5539,5.75879,,,,,0.08653636364,7.563422643
0.6,1.85393,5.92122,,,,,0.10472,7.776753349
0.692,2.12994,2.02665,,,,,0.1214478788,2.661741529
0.792,2.42992,-0.01132,,,,,0.1396284848,-0.01486734962
0.892,2.72984,-0.00707,,,,,0.1578054545,-0.009285526661
0.992,3.0299,-0.01335,,,,,0.1759909091,-0.01753349094
1.092,3.32995,-0.00258,,,,,0.1941757576,-0.003388494878
1.192,3.62996,-0.01967,,,,,0.2123581818,-0.02583399002
1.283,3.90288,-0.01665,,,,,0.2288987879,-0.02186761229
