Time,Extension,Load,Length,Width,Thickness,CS Area,Strain,Stress
(s),(mm),(N),(mm),(mm),(mm),(mm^2),(mm/mm),(MPa)
0,0.25083,0.07566,16.5,2.82,0.31,0.8742,0,0.08654770075
0.1,0.47329,1.3898,,,,,0.01348242424,1.589796385
0.2,0.77843,2.32751,,,,,0.03197575758,2.662445665
0.3,1.07846,3.12216,,,,,0.05015939394,3.571448181
0.4,1.37858,4.11399,,,,,0.06834848485,4.706005491
0.5,1.6785,4.77383,,,,,0.08652545455,5.460798444
0.6,1.97848,5.2044,,,,,0.1047060606,5.953328758
0.7,2.27853,5.49596,,,,,0.1228909091,6.286845116
0.8,2.57851,5.6502,,,,,0.1410715152,6.463280714
0.9,2.87852,5.77257,,,,,0.1592539394,6.603260124
1,3.17847,5.8606,,,,,0.1774327273,6.703957904
1.1,3.47852,5.93172,,,,,0.1956175758,6.785312286
1.2,3.77854,6.02174,,,,,0.2138006061,6.888286433
1.3,4.07844,6.09857,,,,,0.2319763636,6.976172501
1.4,4.37848,6.16863,,,,,0.2501606061,7.056314345
1.5,4.67858,6.23427,,,,,0.2683484848,7.131400137
1.6,4.97857,6.32595,,,,,0.286529697,7.236273164
1.7,5.27849,6.40791,,,,,0.3047066667,7.330027454
1.8,5.57844,6.48913,,,,,0.3228854545,7.422935255
1.9,5.87854,6.56284,,,,,0.3410733333,7.507252345
2,6.17859,6.67655,,,,,0.3592581818,7.637325555
2.1,6.47847,6.76717,,,,,0.3774327273,7.740986044
2.2,6.77845,6.84017,,,,,0.3956133333,7.824490963
2.3,7.07856,6.94968,,,,,0.4138018182,7.94975978
2.4,7.37845,7.0419,,,,,0.4319769697,8.055250515
2.5,7.67853,7.16229,,,,,0.4501636364,8.192964997
2.6,7.97846,7.24943,,,,,0.4683412121,8.292644704
2.7,8.27856,7.3567,,,,,0.4865290909,8.415351178
2.8,8.57854,7.446,,,,,0.504709697,8.517501716
2.9,8.87843,7.53899,,,,,0.5228848485,8.623873256
3,9.1785,7.63519,,,,,0.5410709091,8.733916724
3.1,9.47855,7.73865,,,,,0.5592557576,8.852264928
3.2,9.77858,7.83787,,,,,0.5774393939,8.965762983
3.3,10.07853,7.92176,,,,,0.5956181818,9.061725006
3.4,10.37845,7.9993,,,,,0.6137951515,9.150423244
3.5,10.67854,8.04525,,,,,0.6319824242,9.202985587
3.6,10.97857,7.53233,,,,,0.6501660606,8.616254862
3.602,10.98457,4.12172,,,,,0.650529697,4.714847861
3.604,10.99058,0.51298,,,,,0.6508939394,0.5867993594
3.704,11.29048,-0.0084,,,,,0.669069697,-0.009608785175
3.804,11.59047,-0.00273,,,,,0.6872509091,-0.003122855182
3.904,11.89047,0.00205,,,,,0.7054327273,0.002345001144
4.004,12.1905,-0.0059,,,,,0.7236163636,-0.006749027682
4.104,12.49054,0.0164,,,,,0.7418006061,0.01876000915
4.147,12.61959,-0.00052,,,,,0.7496218182,-0.0005948295585
